,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459786.8301968,16.6641073618835,0.00753010412771238,g,20.3139906966026,2.0,1.0
2,2459785.8107292,16.6170997619629,0.0462619997560978,r,99.0,1.0,0.0
3,2459785.8323264,16.7089004516602,0.047545999288559,g,99.0,1.0,0.0
4,2459786.8301968,16.67919921875,0.0431459993124008,g,99.0,2.0,0.0
6,2459787.7705671,17.2777137756348,0.0428556017577648,g,99.0,1.0,0.0
7,2459787.7984375,16.9950160980225,0.0315902829170227,r,99.0,1.0,0.0
8,2459789.770625,17.7388362884521,0.0860213711857796,r,99.0,1.0,0.0
9,2459789.7910185,18.3901710510254,0.0850629657506943,g,99.0,1.0,0.0
10,2459785.8107292,16.6170997619629,0.0462619997560978,r,99.0,1.0,0.0
11,2459786.8301968,16.67919921875,0.0431459993124008,g,99.0,2.0,0.0
13,2459787.7705671,17.2777137756348,0.0428556017577648,g,99.0,1.0,0.0
14,2459787.7984375,16.9950160980225,0.0315902829170227,r,99.0,1.0,0.0
15,2459789.770625,17.7388362884521,0.0860213711857796,r,99.0,1.0,0.0
16,2459789.7910185,18.3901710510254,0.0850629657506943,g,99.0,1.0,0.0
17,2459785.8107292,16.6170997619629,0.0462619997560978,r,99.0,1.0,0.0
18,2459786.8301968,16.67919921875,0.0431459993124008,g,99.0,2.0,0.0
20,2459787.7984375,16.9950160980225,0.0315902829170227,r,99.0,1.0,0.0
21,2459789.770625,17.7388362884521,0.0860213711857796,r,99.0,1.0,0.0
22,2459789.7910185,18.3901710510254,0.0850629657506943,g,99.0,1.0,0.0
23,2459785.8107292,16.6170997619629,0.0462619997560978,r,99.0,1.0,0.0
24,2459786.8301968,16.67919921875,0.0431459993124008,g,99.0,2.0,0.0
25,2459787.7984375,16.9950160980225,0.0315902829170227,r,99.0,1.0,0.0
26,2459789.770625,17.7388362884521,0.0860213711857796,r,99.0,1.0,0.0
27,2459789.7910185,18.3901710510254,0.0850629657506943,g,99.0,1.0,0.0
28,2459785.8107292,16.6170997619629,0.0462619997560978,r,99.0,1.0,0.0
29,2459787.7984375,16.9950160980225,0.0315902829170227,r,99.0,1.0,0.0
30,2459789.770625,17.7388362884521,0.0860213711857796,r,99.0,1.0,0.0
31,2459789.7910185,18.3901710510254,0.0850629657506943,g,99.0,1.0,0.0
32,2459785.8107292,16.6170997619629,0.0462619997560978,r,99.0,1.0,0.0
33,2459789.770625,17.7388362884521,0.0860213711857796,r,99.0,1.0,0.0
34,2459789.7910185,18.3901710510254,0.0850629657506943,g,99.0,1.0,0.0
35,2459785.8107292,16.6170997619629,0.0462619997560978,r,99.0,1.0,0.0
36,2459789.7910185,18.3901710510254,0.0850629657506943,g,99.0,1.0,0.0
37,2459785.8107292,16.6170997619629,0.0462619997560978,r,99.0,1.0,0.0
