

    0.245590461325405560E-01    0.272989958158277801E+02    0.201493112475356270E+04   -0.114731441974149151E+01    0.133906071637274815E+01    0.703705330421546620E+02    0.811152934086222910E+00    0.122138624185255096E+01    0.116849205470532915E+02    0.479845119027150702E+01   -0.485081302170090112E+01   -0.117774701936113431E+02    0.225112098399598975E+00
    0.237428746964800132E-01    0.272976258817565736E+02    0.113387838648748402E+04   -0.199686566028501766E+01    0.134969967719973027E+01    0.674790691643987373E+02    0.535798098907464104E+00    0.713923682178066676E+00    0.138810704335259221E+02    0.447641592250914577E+01   -0.343505366661760192E+01   -0.121795860013818551E+02    0.496690675003882753E+00
    0.229435317993246339E-01    0.272971531939449434E+02    0.242463772503228483E+04   -0.188287594199916875E+01    0.106712269845025709E+01    0.623194280472275466E+02    0.793932424924736702E+00    0.356325716852080754E+00    0.123921546725171616E+02    0.426193938482272827E+01   -0.258760746347895143E+01   -0.989498209048271349E+01    0.241086072006210683E+00
    0.226472215080305329E-01    0.272541854452953771E+02    0.111700762463997819E+03   -0.182343627559567811E+01    0.117909930644563676E+01    0.622501706929861811E+02    0.120596468804464974E+01    0.854580963616413336E+00    0.870667130498624964E+01    0.481543055657728125E+01   -0.414419723448990140E+01   -0.313112286677305995E+01    0.272615715706230943E+00
    0.221292776820316041E-01    0.272314912478751339E+02    0.207458548646452437E+04   -0.154565003303955573E+01    0.154788047334936874E+01    0.652105739173246377E+02    0.105533848953293585E+01    0.116672161566000909E+01    0.113894101289311678E+02    0.454327127093307404E+01   -0.281162816272230920E+01   -0.121189266640294093E+02    0.356048811595723991E+00
    0.221391633878391912E-01    0.272302016591574230E+02    0.368905336424271673E+04   -0.161468896099638926E+01    0.137685972878911511E+01    0.657423660939095242E+02    0.739805354631972723E+00    0.847160811337635877E+00    0.137592462611202127E+02    0.423165155322461928E+01   -0.335951210453063709E+01   -0.116552791494305055E+02    0.273595427318167439E+00
    0.251282850344530344E-01    0.269769097266246760E+02    0.321702295140904425E+04   -0.183826929319364307E+01    0.156939323291455324E+01    0.665999624773537562E+02    0.595946693403614725E+00    0.899306846678997962E+00    0.149013441861945033E+02    0.439022153439083596E+01   -0.461457314100277749E+01   -0.539189019347598375E+01    0.289161078193710619E+00
    0.287549802794486060E-01    0.267072759788644767E+02    0.389475613961908903E+04   -0.124156820332459961E+01    0.114289851353743077E+01    0.694001913145758493E+02    0.372518436015963794E+00    0.104683979352683121E+01    0.101591441031160912E+02    0.466473191888006689E+01   -0.448212391507911789E+01   -0.104459641119000839E+02    0.166967997638297894E+00
    0.224559668320482853E-01    0.272017852134917248E+02    0.236561468859738670E+04   -0.191492133556310140E+01    0.870439502850350322E+00    0.663320844690258582E+02    0.133406940710438593E+01    0.538839350410229567E+00    0.122270293148179299E+02    0.396358452853204968E+01   -0.352609921547780480E+01   -0.128697002475593330E+02    0.329119918144143153E+00
    0.336469821032539876E-01    0.263930512032236706E+02    0.194547159564587537E+04   -0.181248236108730953E+01    0.677342502077352360E+00    0.693609082041879503E+02    0.662719813320377993E+00    0.459315894870878205E+00    0.134244735089149501E+02    0.431601484688750148E+01   -0.558105393644765435E+01   -0.800225292914907449E+01    0.259644518768897270E+00
