    0.748640298843383789E+02    0.843173342054942543E+00    0.528890138268470764E+02    0.226733452099318999E+00    0.105909445354652409E+01    0.189290964603424072E+01    0.283422052860260010E+01   -0.325681388378143311E+01   -0.200942158699035645E+01    0.396572392845153832E+00   -0.414541223135549315E-02
    0.596066713333129883E+02    0.409306239594786958E+00    0.552832324504852295E+02    0.854023174559855602E-01    0.421499889322251076E+00   -0.101630043983459473E+01    0.251597392559051514E+01   -0.340077221393585205E+01   -0.249655246734619141E+01    0.869993127822876050E-01   -0.383262965109692566E-03
    0.680497676134109497E+04    0.138519224710112487E+01    0.529458145797252655E+02    0.243614512444193743E+00    0.355722692020817161E-01    0.246488070487976074E+01    0.169517815113067627E+01   -0.439209640026092529E+01   -0.175678730010986328E+00    0.162697922587394711E+00    0.465807009143660866-309
    0.674640107154846191E+04    0.101740388784178992E+01    0.501748545765876770E+02    0.197184067344073594E+00    0.209401204412109021E+00    0.296328663825988770E+01    0.299477398395538330E+01   -0.794685781002044678E+01   -0.366964101791381836E+01    0.759610772609710660E-01    0.000000000000000000E+00
    0.179429799318313599E+04    0.561827043039265561E+00    0.509187991917133331E+02    0.107770436316967255E+00    0.498310999944749644E+00    0.867436408996582031E+00    0.143876612186431885E+01   -0.859580457210540771E+01    0.248964071273803711E+01    0.176650253105163579E+00    0.465807019329792524-309
    0.467695242166519165E+04    0.151768370724338686E+01    0.497641103863716125E+02    0.210313238257217594E+00    0.884751226559894244E+00   -0.106683576107025146E+01    0.268149435520172119E+01   -0.397997319698333740E+01    0.713277220726013184E+01    0.349316036653518680E+00    0.465807009144846624-309
    0.417664432525634766E+04    0.126512340625349129E+01    0.536930620372295380E+02    0.168026822656369368E+00    0.427241362946244735E-01    0.549602508544921875E-02    0.102126479148864746E+01   -0.125350654125213623E+01   -0.534779548645019531E+01    0.757583840131759723E-01    0.465807009145241876-309
    0.164858746528625488E+04    0.103248759306654292E+01    0.523404727280139923E+02    0.224243635748474113E+00    0.816960679474360463E+00    0.136212658882141113E+01    0.132881879806518555E+01   -0.510307073593139648E+01    0.637152314186096191E+01    0.455993619203567541E-01    0.465807009145637129-309
    0.274283230304718018E+03    0.865498233768233538E+00    0.525006053745746613E+02    0.138369267787785494E+00    0.433539447641037856E+00   -0.266534900665283203E+01    0.253192079067230225E+01   -0.328866839408874512E+00    0.718302845954895020E+01    0.248068422317504894E+00    0.465807009146032381-309
    0.399325060844421387E+04    0.684349745621954719E+00    0.550065158605575562E+02    0.118576181231044742E+00    0.515493007895776317E-01    0.238466370105743408E+01    0.189818763732910156E+01   -0.923260927200317383E+01    0.885140895843505859E-01    0.362655033302307139E+00    0.465807009146427634-309
    0.687335616350173950E+04    0.124561784859745184E+01    0.546095909178256989E+02    0.160280722141143167E+00    0.765402390516103814E+00   -0.185010087490081787E+01    0.219520390033721924E+01   -0.353515565395355225E+01   -0.831746935844421387E+01    0.517327893161773744E+00    0.000000000000000000E+00
