luminosity_distance KNtimeshift log10_Menv log10_Renv log10_Ee Ebv log_likelihood log_prior
197.69828682178624 -0.9940146041618123 -0.47125516376845944 14.90966495875793 50.401487584843565 0.10704084618052484 -25.979931999031535 -11.385180351401358
70.73663082374479 -0.46698156674704183 -0.8551273764886851 14.857666678950867 48.743510727600196 0.3408952295383987 -24.74171031700884 -12.08338935260734
104.15028165395191 -0.25425642176432306 -0.6181592454316567 13.268225110473914 51.2145743873118 0.38080262718339386 -24.68335917656286 -12.272593679037259
86.07877919262354 -0.9640948759086454 -0.17284286685175587 12.080185387706292 51.808825444908614 0.05716431853894705 -24.508868258337614 -11.283365402780657
15.431561681083267 -1.1666668285557085 -1.1354498883984974 13.228110327386448 47.584401616398644 0.2312205243677297 -24.34985915635472 -11.695581172339697
316.7521751161682 -0.28526160891115304 -0.4018809594249557 13.813710238428106 51.6286476013457 0.06451813291861262 -24.28941715646007 -11.297740957246596
255.01108532456664 -0.8803262267795788 -0.03393598709589085 12.687152647583398 51.799829530505434 0.28494165031900226 -24.175088574910728 -11.866911853599046
241.0698129843863 -1.8272784009638139 -0.47760150000160007 13.739816848228887 51.696529852626064 0.36328049494701 -23.731921371253772 -12.185083949602358
129.9147242299066 -0.029998642855926905 -0.7570926971940652 14.542295224984871 49.755463395847094 0.3186034172383845 -23.648653489109158 -11.991456741773483
64.7699236869812 -0.008089303970336914 -0.7733115553855896 14.194868803024292 49.55042880773544 0.2558776906013489 -23.441250872987766 -11.770596105735368
612.3142902639621 -0.27036248444935906 -0.04427214699150195 14.472266188734995 51.82513753510446 0.07087021897513399 -23.431845547855197 -11.310326843130015
363.5521908863276 -0.03837967504929374 -0.47751844218734263 14.632435014839555 51.043375839722906 0.3454746683380145 -23.405336828011265 -12.103368804706362
466.0132560805099 -1.130313282763541 -0.1781470339359048 13.446069561532045 51.7599984184068 0.23340389940206063 -23.366498521269023 -11.702001228013541
57.838000981241706 -0.35747627145413485 -0.4134276461184747 11.920509568538534 50.874022045772975 0.29778932812400216 -23.230717873564704 -11.91263547673786
