luminosity_distance KNtimeshift inclination_EM log10_E0 thetaCore thetaWing log10_n0 p log10_epsilon_e log10_epsilon_B Ebv ksiN L0 dL b q ts log_likelihood log_prior
1453.9986235385713 -1.392310368387855 0.3607525986512614 60.2711914987275 1.3370987961647223 0.5110161370052785 9.488318761317066 2.7470124586821534 -4.926913051407217 -7.712726027251356 0.2073513500818082 1.0 0.0 3.09e+19 6.0 0.0 0.0 -23.19595940096452 -26.58739347068515
5264.029642194329 -1.1438352596669268 0.7274862816741028 66.83786127241824 0.6109797169758859 1.3646018919713339 1.9886212726026555 3.008141239149439 -8.080179547453074 -8.331227883782475 0.0762679341220588 1.0 0.0 3.09e+19 6.0 0.0 0.0 -22.95207306869528 -25.64721048788785
1123.1055369666526 -1.4769641222935874 1.0306459026132506 56.194658459147426 1.1524314443005785 0.8669441635474942 11.718026192792497 2.3231580734727197 -1.7812002228196562 -11.76607842784625 0.2337358913342464 1.0 0.0 3.09e+19 6.0 0.0 0.0 -22.65572619025038 -25.774648105947133
2523.034552369657 -1.0866229590537733 0.9007861732216673 56.54829809456117 1.1542362765910437 0.9099431144683985 10.313941695918018 3.2099031256164996 -0.9686252727083708 -10.570514512705955 0.3698943306358032 1.0 0.0 3.09e+19 6.0 0.0 0.0 -22.22843983153569 -26.37888985156272
6684.322109634392 0.12829335040020506 0.5560442418164732 63.73407682483829 0.5476238957647324 0.8186874600896332 4.7145948079616655 2.913449464798148 -6.9093850367981275 -3.1972373847162228 0.29141537998324635 1.0 0.0 3.09e+19 6.0 0.0 0.0 -22.06531876886828 -26.446756046398153
3195.539108966145 -0.9103151695046436 0.9247148606902547 74.3708992069569 0.9220963948453289 1.3002021406717978 5.376492773120968 3.444056538697896 -11.056599875560273 -11.393001149243306 0.27972178381772206 1.0 0.0 3.09e+19 6.0 0.0 0.0 -21.756386248592825 -25.9920861993397
4081.91146588423 -1.2662658458004952 0.863195094068023 58.070050308321264 0.9230513301080812 0.9889080541494835 10.337140929519201 3.061885995912672 -2.5519863820236246 -6.2305045593365485 0.21670531247246497 1.0 0.0 3.09e+19 6.0 0.0 0.0 -21.75341481028289 -25.84654097998877
5466.10937924367 -0.072073322883353 0.9411739630221069 64.40681828717568 0.5282560151911786 1.1355459721918764 5.288807750540165 2.3301096729894972 -8.671257243108727 -4.913456579593937 0.26105410717583655 1.0 0.0 3.09e+19 6.0 0.0 0.0 -21.66609923250656 -25.918055394218786
5056.5839965870555 -1.1004725407684255 1.1133785420772004 61.72013574331064 0.8223110889996385 1.2655519775703141 12.741512030079829 3.8525890074953226 -3.9965881417932625 -5.235335811662814 0.1479287432338917 1.0 0.0 3.09e+19 6.0 0.0 0.0 -21.588189197830914 -25.503712716238926
3973.142820651413 -1.0756248075758896 0.4030185878862862 56.90872501446736 0.692299875179576 1.3390792210568858 2.019471442792789 4.066763850162834 -2.4241972962798446 -1.7592264966001903 0.08755569704972947 1.0 0.0 3.09e+19 6.0 0.0 0.0 -21.485705797542515 -26.198239476530123
6872.579973987018 0.3672432310392164 0.9896173533251702 56.724310870920014 0.5590633837656201 1.1137098406491752 7.515489953085128 2.423311560989726 -1.862935981674502 -7.925165430867256 0.3633252107601616 1.0 0.0 3.09e+19 6.0 0.0 0.0 -21.44383797386405 -26.28273073760492
