,jd,mag,mag_unc,filter,limmag,programid
0,44244.69408672714,2.8720309587432546,0.1,g,inf,0.0
1,44244.69408672714,2.569770617644053,0.1,r,inf,0.0
2,44244.79408672714,4.459647946133981,0.1,g,inf,0.0
3,44244.79408672714,4.300155753666537,0.1,r,inf,0.0
4,44244.89408672714,5.3785219478853685,0.1,g,inf,0.0
5,44244.89408672714,5.062546854317874,0.1,r,inf,0.0
6,44244.994086727136,5.4187215441914685,0.1,g,inf,0.0
7,44244.994086727136,5.5731072095748635,0.1,r,inf,0.0
8,44245.09408672714,6.092817064196614,0.1,g,inf,0.0
9,44245.09408672714,5.701091637156069,0.1,r,inf,0.0
10,44245.19408672714,6.280643757807862,0.1,g,inf,0.0
11,44245.19408672714,5.954047637974544,0.1,r,inf,0.0
12,44245.29408672714,6.457819576444168,0.1,g,inf,0.0
13,44245.29408672714,6.354067058814657,0.1,r,inf,0.0
14,44245.39408672714,6.681554448054169,0.1,g,inf,0.0
15,44245.39408672714,6.516227954781265,0.1,r,inf,0.0
16,44245.494086727136,6.675473595855192,0.1,r,inf,0.0
17,44245.494086727136,6.637517286165814,0.1,g,inf,0.0
18,44245.59408672714,6.956709292743724,0.1,g,inf,0.0
19,44245.59408672714,6.8274714959971625,0.1,r,inf,0.0
20,44245.69408672714,6.853115617151191,0.1,r,inf,0.0
21,44245.69408672714,7.142679209085824,0.1,g,inf,0.0
22,44245.79408672714,7.3750195073357165,0.1,g,inf,0.0
23,44245.79408672714,7.064605525523905,0.1,r,inf,0.0
24,44245.89408672714,7.18025868909843,0.1,r,inf,0.0
25,44245.89408672714,7.284974406609527,0.1,g,inf,0.0
26,44245.994086727136,7.356901676965348,0.1,g,inf,0.0
27,44245.994086727136,7.180465881005828,0.1,r,inf,0.0
28,44246.09408672714,7.530279165199941,0.1,r,inf,0.0
29,44246.09408672714,7.479376030945568,0.1,g,inf,0.0
30,44246.19408672714,7.707223483488444,0.1,g,inf,0.0
31,44246.19408672714,7.477216534748076,0.1,r,inf,0.0
32,44246.29408672714,7.392458488514099,0.1,r,inf,0.0
33,44246.29408672714,7.730313984099092,0.1,g,inf,0.0
34,44246.39408672714,7.653487627553803,0.1,r,inf,0.0
35,44246.39408672714,7.720706281698806,0.1,g,inf,0.0
36,44246.494086727136,7.562022270813416,0.1,r,inf,0.0
37,44246.494086727136,7.896667217540788,0.1,g,inf,0.0
38,44246.59408672714,7.80811075126129,0.1,r,inf,0.0
39,44246.59408672714,7.924960083422127,0.1,g,inf,0.0
40,44246.69408672714,8.075288503704638,0.1,g,inf,0.0
41,44246.69408672714,7.90843352423484,0.1,r,inf,0.0
42,44246.79408672714,7.970900302175148,0.1,g,inf,0.0
43,44246.79408672714,7.773187340734262,0.1,r,inf,0.0
44,44246.89408672714,8.065825372538502,0.1,g,inf,0.0
45,44246.89408672714,8.009079160902564,0.1,r,inf,0.0
46,44246.994086727136,8.116866747520454,0.1,g,inf,0.0
47,44246.994086727136,8.011505616080482,0.1,r,inf,0.0
48,44247.09408672714,8.06289994630164,0.1,g,inf,0.0
49,44247.09408672714,8.105607417569564,0.1,r,inf,0.0
50,44247.19408672714,8.291851904274312,0.1,g,inf,0.0
51,44247.19408672714,8.26606913519615,0.1,r,inf,0.0
52,44247.29408672714,8.338453813478807,0.1,g,inf,0.0
53,44247.29408672714,8.101959434988373,0.1,r,inf,0.0
54,44247.39408672714,8.09960950128862,0.1,r,inf,0.0
55,44247.39408672714,8.361344503063528,0.1,g,inf,0.0
56,44247.494086727136,8.134104066651757,0.1,r,inf,0.0
57,44247.494086727136,8.38544683595422,0.1,g,inf,0.0
