,jd,mag,mag_unc,filter,limmag,programid
0,44244.01022080322,90.89228653538078,0.1,g,inf,0.0
1,44244.01022080322,89.5558461634033,0.1,r,inf,0.0
2,44244.11022080322,106.72117750588434,0.1,g,inf,0.0
3,44244.11022080322,105.72133510377382,0.1,r,inf,0.0
4,44244.210220803216,111.47015285436962,0.1,g,inf,0.0
5,44244.210220803216,110.31778837633831,0.1,r,inf,0.0
6,44244.310220803214,113.93332952470888,0.1,g,inf,0.0
7,44244.310220803214,113.25159793042084,0.1,r,inf,0.0
8,44244.41022080322,116.40997700751493,0.1,g,inf,0.0
9,44244.41022080322,115.18220329411486,0.1,r,inf,0.0
10,44244.51022080322,118.04907875181873,0.1,g,inf,0.0
11,44244.51022080322,116.88643999181177,0.1,r,inf,0.0
12,44244.61022080322,119.45315837624106,0.1,g,inf,0.0
13,44244.61022080322,118.51336487597456,0.1,r,inf,0.0
14,44244.710220803216,120.7425233898086,0.1,g,inf,0.0
15,44244.710220803216,119.74115738760362,0.1,r,inf,0.0
16,44244.810220803214,120.86244440283679,0.1,r,inf,0.0
17,44244.810220803214,121.66052661821685,0.1,g,inf,0.0
18,44244.91022080322,122.849113151817,0.1,g,inf,0.0
19,44244.91022080322,121.8838367696757,0.1,r,inf,0.0
20,44245.01022080322,122.71291280175726,0.1,r,inf,0.0
21,44245.01022080322,123.83851492294102,0.1,g,inf,0.0
22,44245.11022080322,124.81815489547135,0.1,g,inf,0.0
23,44245.11022080322,123.67170246883856,0.1,r,inf,0.0
24,44245.210220803216,124.49279722878647,0.1,r,inf,0.0
25,44245.210220803216,125.43355135150398,0.1,g,inf,0.0
26,44245.310220803214,126.17661832680763,0.1,g,inf,0.0
27,44245.310220803214,125.16414415341957,0.1,r,inf,0.0
28,44245.41022080322,126.14836568130274,0.1,r,inf,0.0
29,44245.41022080322,126.93350091770455,0.1,g,inf,0.0
30,44245.51022080322,127.76936801327294,0.1,g,inf,0.0
31,44245.51022080322,126.70332270171917,0.1,r,inf,0.0
32,44245.61022080322,127.20804155665765,0.1,r,inf,0.0
33,44245.61022080322,128.3819354092186,0.1,g,inf,0.0
34,44245.710220803216,128.0370120336645,0.1,r,inf,0.0
35,44245.710220803216,128.94026904429919,0.1,g,inf,0.0
36,44245.810220803214,128.49421744816,0.1,r,inf,0.0
37,44245.810220803214,129.66490075036882,0.1,g,inf,0.0
38,44245.91022080322,129.2816374084795,0.1,r,inf,0.0
39,44245.91022080322,130.23452509491477,0.1,g,inf,0.0
40,44246.01022080322,130.89885754268977,0.1,g,inf,0.0
41,44246.01022080322,129.89596420966248,0.1,r,inf,0.0
42,44246.11022080322,131.30638134007276,0.1,g,inf,0.0
43,44246.11022080322,130.2726300257506,0.1,r,inf,0.0
44,44246.210220803216,131.89068436629873,0.1,g,inf,0.0
45,44246.210220803216,130.9978998020082,0.1,r,inf,0.0
