 F
        1079        1237           8         512
   -0.130425516389423592E+03   -0.130025854207815939E+03
 T
   2
    0.200000000000000000E+01    0.300000000000000000E+01    0.189453125000000000E+00    0.810546875000000000E+00
   3
    0.400000000000000000E+01    0.500000000000000000E+01    0.600000000000000000E+01    0.793814432989690677E+00    0.164948453608247420E+00    0.412371134020618549E-01
   2
    0.700000000000000000E+01    0.800000000000000000E+01    0.889156626506024117E+00    0.110843373493975897E+00
   0
   0
   0
   0
   0
 T T     0           0
    0.000000000000000000E+00   -0.100000000000000002+101    0.000000000000000000E+00
 T T     1           0
    0.000000000000000000E+00   -0.100000000000000002+101    0.000000000000000000E+00
 T T     1           0
    0.000000000000000000E+00   -0.100000000000000002+101    0.000000000000000000E+00
 T F     2          77
    0.499021093820354450E-01   -0.132314674101325153E+03   -0.130025688063448655E+03
 T F     2          16
    0.106421294525767905E-01   -0.133905540755094535E+03   -0.130025714626930949E+03
 T F     2           4
    0.266053236314419761E-02   -0.135291835116214429E+03   -0.130025714626931432E+03
 T F     3         369
    0.239625159760618156E+00   -0.130755198208716564E+03   -0.130025891568345173E+03
 T F     3          46
    0.295272815680614406E-01   -0.132820874349480448E+03   -0.130025894014331442E+03
