,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459776.8910764,18.8855533599854,0.1097457036376,r,99.0,1,0.0
1,2459776.9534722,18.886209487915,0.0767141133546829,r,99.0,1,0.0
2,2459779.8866782,20.4731006622314,0.308034002780914,r,99.0,1,0.0
3,2459779.9644792,20.6126003265381,0.264115989208221,r,99.0,1,0.0
4,2459783.8419676,19.1939334869385,0.087611086666584,g,99.0,1,0.0
5,2459776.8910764,18.8855533599854,0.1097457036376,r,99.0,1,0.0
6,2459779.8866782,20.4731006622314,0.308034002780914,r,99.0,1,0.0
7,2459779.9644792,20.6126003265381,0.264115989208221,r,99.0,1,0.0
8,2459783.8419676,19.1939334869385,0.087611086666584,g,99.0,1,0.0
9,2459776.8910764,18.8855533599854,0.1097457036376,r,99.0,1,0.0
10,2459779.9644792,20.6126003265381,0.264115989208221,r,99.0,1,0.0
11,2459783.8419676,19.1939334869385,0.087611086666584,g,99.0,1,0.0
12,2459776.8910764,18.8855533599854,0.1097457036376,r,99.0,1,0.0
13,2459783.8419676,19.1939334869385,0.087611086666584,g,99.0,1,0.0
14,2459776.8910764,18.8855533599854,0.1097457036376,r,99.0,1,0.0
