Nested Sampling Global Log-Evidence           :   -0.265112478424914499E+02  +/-    0.122080432931840815E+00

Local Mode Properties
-------------------------------------------

Total Modes Found:           1


Mode   1
Strictly Local Log-Evidence   -0.265112478424914499E+02 +/-    0.122080432931840815E+00
Local Log-Evidence   -0.265112478424914499E+02 +/-    0.122080432931840815E+00

Dim No.       Mean        Sigma
   1    0.332709851654519980E+04    0.180274408837305737E+04
   2   -0.953239042199388820E+00    0.577676566121573587E+00
   3    0.883164263602486010E+00    0.308940642733595672E+00
   4    0.609693626077463051E+02    0.514674343785682442E+01
   5    0.891209171117903209E+00    0.346116108795031185E+00
   6    0.112115612107299656E+01    0.281631292565196034E+00
   7    0.837572114394852818E+01    0.361068843947224938E+01
   8    0.265937223198455275E+01    0.498186616352119971E+00
   9   -0.533950656989037675E+01    0.315172137447242307E+01
  10   -0.635629498983580810E+01    0.377003191401405502E+01
  11    0.191914216837746843E+00    0.133894122199714721E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.265484512169559412E+04
   2   -0.954611369897653272E+00
   3    0.402090263563884276E+00
   4    0.610243623913960391E+02
   5    0.149105514948412199E+01
   6    0.363762402782521699E+00
   7    0.705685424243091752E+01
   8    0.245766775479227340E+01
   9   -0.495090764727092747E+01
  10   -0.120400130688026330E+02
  11    0.942203445179964731E-02

MAP Parameters
Dim No.        Parameter
   1    0.265484512169559412E+04
   2   -0.954611369897653272E+00
   3    0.402090263563884276E+00
   4    0.610243623913960391E+02
   5    0.149105514948412199E+01
   6    0.363762402782521699E+00
   7    0.705685424243091752E+01
   8    0.245766775479227340E+01
   9   -0.495090764727092747E+01
  10   -0.120400130688026330E+02
  11    0.942203445179964731E-02
