,day,dayPath,cand,candPath,model,fitPath,json,fitBool,sampling_time,sampler,log_evidence,log_evidence_err,log_noise_evidence,log_bayes_factor
24,2459366-2459388,/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/,ZTF21abdpqpq,/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/lc_ZTF21abdpqpq_forced1_stacked0.csv,TrPi2018,/panfs/roc/groups/7/cough052/shared/ztfrest/candidate_fits/2459366-2459388/ZTF21abdpqpq/,/panfs/roc/groups/7/cough052/shared/ztfrest/candidate_fits/2459366-2459388/ZTF21abdpqpq/TrPi2018_result.json,TRUE,6052.009464,pymultinest,-10.89339835,0.151464719,0,-10.89339835
25,2459366-2459388,/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/,ZTF21abdpqpq,/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/lc_ZTF21abdpqpq_forced1_stacked0.csv,nugent-hyper,/panfs/roc/groups/7/cough052/shared/ztfrest/candidate_fits/2459366-2459388/ZTF21abdpqpq/,/panfs/roc/groups/7/cough052/shared/ztfrest/candidate_fits/2459366-2459388/ZTF21abdpqpq/nugent-hyper_result.json,TRUE,3487.377818,pymultinest,-10.74066007,0.084827062,0,-10.74066007
31,2459366-2459388,/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/,ZTF21abfegkl,/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/lc_ZTF21abfegkl_forced1_stacked0.csv,Bu2019lm,/panfs/roc/groups/7/cough052/shared/ztfrest/candidate_fits/2459366-2459388/ZTF21abfegkl/,,FALSE,,,,,,
30,2459366-2459388,/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/,ZTF21abfegkl,/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/lc_ZTF21abfegkl_forced1_stacked0.csv,Piro2021,/panfs/roc/groups/7/cough052/shared/ztfrest/candidate_fits/2459366-2459388/ZTF21abfegkl/,,FALSE,,,,,,
28,2459366-2459388,/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/,ZTF21abfegkl,/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/lc_ZTF21abfegkl_forced1_stacked0.csv,TrPi2018,/panfs/roc/groups/7/cough052/shared/ztfrest/candidate_fits/2459366-2459388/ZTF21abfegkl/,,FALSE,,,,,,
29,2459366-2459388,/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/,ZTF21abfegkl,/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/lc_ZTF21abfegkl_forced1_stacked0.csv,nugent-hyper,/panfs/roc/groups/7/cough052/shared/ztfrest/candidate_fits/2459366-2459388/ZTF21abfegkl/,,FALSE,,,,,,
35,2459366-2459388,/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/,ZTF21abfktlf,/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/lc_ZTF21abfktlf_forced1_stacked0.csv,Bu2019lm,/panfs/roc/groups/7/cough052/shared/ztfrest/candidate_fits/2459366-2459388/ZTF21abfktlf/,,FALSE,,,,,,
34,2459366-2459388,/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/,ZTF21abfktlf,/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/lc_ZTF21abfktlf_forced1_stacked0.csv,Piro2021,/panfs/roc/groups/7/cough052/shared/ztfrest/candidate_fits/2459366-2459388/ZTF21abfktlf/,,FALSE,,,,,,
32,2459366-2459388,/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/,ZTF21abfktlf,/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/lc_ZTF21abfktlf_forced1_stacked0.csv,TrPi2018,/panfs/roc/groups/7/cough052/shared/ztfrest/candidate_fits/2459366-2459388/ZTF21abfktlf/,,FALSE,,,,,,
33,2459366-2459388,/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/,ZTF21abfktlf,/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/lc_ZTF21abfktlf_forced1_stacked0.csv,nugent-hyper,/panfs/roc/groups/7/cough052/shared/ztfrest/candidate_fits/2459366-2459388/ZTF21abfktlf/,,FALSE,,,,,,
