luminosity_distance KNphi inclination_EM log10_mej_dyn log10_mej_wind Ebv KNtimeshift log_likelihood log_prior
157.8407682866589 38.64687025626908 0.6810462870314984 -2.1734740811106414 -2.555240534282063 0.3050500249317769 0.0 -17.135395495404293 -11.668122754052096
139.7409767851297 24.380404501108067 0.7046255796080769 -2.2955230621807896 -2.9793937159622597 0.3029370108210672 0.0 -16.91278892139271 -11.631842196207545
132.5738335462172 74.72392066212188 1.2139186607720776 -2.8309308930504926 -2.852550214704861 0.29285664008339013 0.0 -16.427195552696244 -11.225943588184684
85.6865406036377 16.910641193389893 0.9041724924716551 -2.34939968585968 -2.471883773803711 0.45591883320808413 0.0 -16.399302078881007 -12.2771992862145
66.75191470820691 54.913562897446205 1.1661257367800566 -2.8399944816624867 -0.6926245128885848 0.412367654585918 0.0 -16.3377529355975 -11.802861290717996
94.22304630279541 26.954716444015503 1.3216150127101938 -2.7981696128845215 -2.8834285140037537 0.17437279436588288 0.0 -16.285613959411222 -10.838872662110258
97.76107830463907 52.275561603882196 1.0923793411799538 -2.491227457626189 -2.8452240654667085 0.48005117914670736 0.0 -16.20620143496595 -12.387541197222914
92.2646164894104 34.55044627189636 0.813076606479679 -2.4955177307128906 -2.7687526047229767 0.24044031901359558 0.0 -16.157427874217113 -11.308654626782225
86.44272711039078 23.692228019914168 0.6820952438578416 -2.3078931039624617 -1.995385598982759 0.5183829576785607 0.0 -15.840478453972668 -13.26608873365536
157.57172224212098 37.54742674796563 0.25579210537769925 -2.2599403784465273 -2.4668488513317355 0.4636086939773849 0.0 -15.70686824319826 -13.478908303365676
103.46709489822388 61.75776958465576 0.9896591214383242 -2.614275574684143 -1.983292132616043 0.4558219730615616 0.0 -15.475436138803387 -12.214779245328417
128.57755362152866 69.60033887757388 1.376246544197306 -2.884449977850411 -2.6802514979490724 0.24364252861102093 0.0 -15.421248143622657 -11.017745758422182
76.40985250473022 16.451228857040405 0.8028955803078207 -2.6164873838424683 -2.2951542139053345 0.13171082983016968 0.0 -15.28415177491505 -11.035059683244977
150.29877906777227 47.644826101697774 0.9870632430025725 -2.698184143568454 -2.1861877141448596 0.1368370337429398 0.0 -15.276292986138824 -10.898410471831417
92.04850536353263 16.60673870217353 0.8866030722910533 -2.622926878190698 -2.607497983325745 0.031053296102725364 0.0 -15.273779630860822 -10.754944333705074
100.97531881454552 38.30611992658115 0.5498600652065224 -2.474602099529436 -2.688417649417183 0.4824496653897709 0.0 -15.250248047127311 -12.943763278974151
102.39084544337712 45.905440048237224 0.5760407736308629 -2.7454847584005106 -1.3068644773111053 0.326845707647833 0.0 -15.079845863707572 -11.89800816644279
