name,ra,dec,jd,magpsf,sigmapsf,filter,magzpsci,magzpsciunc,programid,field,rcid,pid,sgscore1,sgscore2,sgscore3,distpsnr1,distpsnr2,distpsnr3
ZTF21abotose,246.9820212,20.2531778,2459422.8177431,18.731399536132812,0.0922359973192215,i,25.626399993896484,1.300149961025454e-06,2,584,36,1668317743615,nan,nan,nan,nan,nan,nan
ZTF21abotose,246.9820212,20.2531778,2459422.8177431,18.73136329650879,0.09223608672618866,i,25.62636375427246,1.3001000525036943e-06,2,584,36,1668317743615,0.004791670013219118,0.04874999821186066,0.5,0.3134475648403168,10.670577049255371,20.50074005126953
ZTF21abotose,246.9820373,20.253212,2459423.7156019,18.67378044128418,0.08574844151735306,g,26.207780838012695,6.16529996477766e-06,1,584,36,1669215603615,0.004791670013219118,0.04874999821186066,0.5,0.4301217496395111,10.801031112670898,20.59809684753418
ZTF21abotose,246.9820373,20.253212,2459423.7156019,18.673799514770508,0.08574800193309784,g,26.207799911499023,6.165259947010782e-06,1,584,36,1669215603615,nan,nan,nan,nan,nan,nan
ZTF21abotose,246.9820337,20.2531501,2459425.6953704,19.113492965698242,0.12621691823005676,r,26.245492935180664,2.546900077504688e-06,1,584,36,1671195373615,0.004791670013219118,0.04874999821186066,0.5,0.20829404890537262,10.618684768676758,20.392597198486328
ZTF21abotose,246.9820337,20.2531501,2459425.6953704,19.113500595092773,0.12621699273586273,r,26.245500564575195,2.5469500997132855e-06,1,584,36,1671195373615,nan,nan,nan,nan,nan,nan
ZTF21abotose,246.9820337,20.2531501,2459425.6953704,19.113500595092773,0.12621699273586273,r,26.245500564575195,2.5469500997132855e-06,1,584,36,1671195373615,nan,nan,nan,nan,nan,nan
ZTF21abotose,246.9820008,20.2531872,2459425.7280324,19.278823852539062,0.1343611627817154,g,26.19482421875,6.209800176293356e-06,1,584,36,1671228033615,0.004791670013219118,0.04874999821186066,0.5,0.3656429946422577,10.654873847961426,20.55614471435547
ZTF21abotose,246.9820008,20.2531872,2459425.7280324,19.278799057006836,0.13436099886894226,g,26.194799423217773,6.209850198501954e-06,1,584,36,1671228033615,nan,nan,nan,nan,nan,nan
ZTF21abotose,246.9820008,20.2531872,2459425.7280324,19.278799057006836,0.13436099886894226,g,26.194799423217773,6.209850198501954e-06,1,584,36,1671228033615,nan,nan,nan,nan,nan,nan
ZTF21abotose,246.9819407,20.2532561,2459425.7748843,19.462400436401367,0.1702519953250885,i,25.36039924621582,1.2117399819544517e-05,2,584,36,1671274883615,nan,nan,nan,nan,nan,nan
ZTF21abotose,246.9819407,20.2532561,2459425.7748843,19.46240234375,0.17025184631347656,i,25.360401153564453,1.2117399819544517e-05,2,584,36,1671274883615,0.004791670013219118,0.04874999821186066,0.5,0.6777158379554749,10.73121452331543,20.859132766723633
ZTF21abotose,246.9819846,20.2531516,2459426.7202431,19.9325008392334,0.17847199738025665,g,26.100500106811523,5.9781600612041075e-06,3,584,36,1672220243615,nan,nan,nan,nan,nan,nan
