,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459951.9303125,99.0,99.0,r,19.28730010986328,1,1
1,2459951.9692708,99.0,99.0,g,19.00659942626953,1,1
2,2459957.9718634,99.0,99.0,r,19.896499633789062,1,1
3,2459957.992581,99.0,99.0,g,19.50119972229004,1,1
4,2459966.8654977,99.0,99.0,r,20.105100631713867,1,1
5,2459968.7792708,99.0,99.0,r,19.921899795532227,1,1
6,2459968.9319329,99.0,99.0,g,20.05030059814453,1,1
7,2459970.7366204,99.0,99.0,r,19.107999801635746,1,1
8,2459972.9346528,19.600201080755955,0.1565259993076324,g,19.955620657025733,1,1
9,2459972.9346528,19.600195160712296,0.156525507569313,g,19.955618147910208,1,1
10,2459972.9699884,99.0,99.0,r,19.81290054321289,1,1
