thetaWing luminosity_distance KNtimeshift inclination_EM log10_E0 thetaCore log10_n0 p log10_epsilon_e log10_epsilon_B ksiN L0 dL b q ts Ebv log_likelihood log_prior
0.7672074687208843 2060.0 0.0 0.19 52.79 0.24 -1.29 2.4 -0.39 -4.19 1.0 0.0 3.09e+19 6.0 0.0 0.0 0.0 -130.02511783820148 3.955136541974802
0.7672074687208843 2060.0 0.0 0.19 52.79 0.24 -1.29 2.4 -0.39 -4.19 1.0 0.0 3.09e+19 6.0 0.0 0.0 0.0 -130.02511783820148 3.955136541974802
0.7669831869661055 2060.0 0.0 0.19 52.79 0.24 -1.29 2.4 -0.39 -4.19 1.0 0.0 3.09e+19 6.0 0.0 0.0 0.0 -130.02511010568907 3.955136541974802
0.7669831869661055 2060.0 0.0 0.19 52.79 0.24 -1.29 2.4 -0.39 -4.19 1.0 0.0 3.09e+19 6.0 0.0 0.0 0.0 -130.02511010568907 3.955136541974802
0.7673105426461041 2060.0 0.0 0.19 52.79 0.24 -1.29 2.4 -0.39 -4.19 1.0 0.0 3.09e+19 6.0 0.0 0.0 0.0 -130.0250864689817 3.955136541974802
0.7673105426461041 2060.0 0.0 0.19 52.79 0.24 -1.29 2.4 -0.39 -4.19 1.0 0.0 3.09e+19 6.0 0.0 0.0 0.0 -130.0250864689817 3.955136541974802
0.7672748902620845 2060.0 0.0 0.19 52.79 0.24 -1.29 2.4 -0.39 -4.19 1.0 0.0 3.09e+19 6.0 0.0 0.0 0.0 -130.02508521227395 3.955136541974802
0.7672748902620845 2060.0 0.0 0.19 52.79 0.24 -1.29 2.4 -0.39 -4.19 1.0 0.0 3.09e+19 6.0 0.0 0.0 0.0 -130.02508521227395 3.955136541974802
0.7669927083505839 2060.0 0.0 0.19 52.79 0.24 -1.29 2.4 -0.39 -4.19 1.0 0.0 3.09e+19 6.0 0.0 0.0 0.0 -130.02504533445696 3.955136541974802
0.7669927083505839 2060.0 0.0 0.19 52.79 0.24 -1.29 2.4 -0.39 -4.19 1.0 0.0 3.09e+19 6.0 0.0 0.0 0.0 -130.02504533445696 3.955136541974802
0.7669990978058593 2060.0 0.0 0.19 52.79 0.24 -1.29 2.4 -0.39 -4.19 1.0 0.0 3.09e+19 6.0 0.0 0.0 0.0 -130.02504238313261 3.955136541974802
0.7669990978058593 2060.0 0.0 0.19 52.79 0.24 -1.29 2.4 -0.39 -4.19 1.0 0.0 3.09e+19 6.0 0.0 0.0 0.0 -130.02504238313261 3.955136541974802
0.7670182798731621 2060.0 0.0 0.19 52.79 0.24 -1.29 2.4 -0.39 -4.19 1.0 0.0 3.09e+19 6.0 0.0 0.0 0.0 -130.02502839861094 3.955136541974802
0.7670182798731621 2060.0 0.0 0.19 52.79 0.24 -1.29 2.4 -0.39 -4.19 1.0 0.0 3.09e+19 6.0 0.0 0.0 0.0 -130.02502839861094 3.955136541974802
0.7670204664004766 2060.0 0.0 0.19 52.79 0.24 -1.29 2.4 -0.39 -4.19 1.0 0.0 3.09e+19 6.0 0.0 0.0 0.0 -130.02502800897628 3.955136541974802
