Ebv luminosity_distance KNtimeshift inclination_EM log10_E0 thetaCore thetaWing log10_n0 p log10_epsilon_e log10_epsilon_B ksiN L0 dL b q ts log_likelihood log_prior
0.01880799551010132 2060.0 0.0 0.19 52.79 0.24 0.76 -1.29 2.4 -0.39 -4.19 1.0 0.0 3.09e+19 6.0 0.0 0.0 -5.954707615772721 1.217654325619967
0.02157876205444336 2060.0 0.0 0.19 52.79 0.24 0.76 -1.29 2.4 -0.39 -4.19 1.0 0.0 3.09e+19 6.0 0.0 0.0 -5.9232856863047205 1.212636688650213
0.03537698292732239 2060.0 0.0 0.19 52.79 0.24 0.76 -1.29 2.4 -0.39 -4.19 1.0 0.0 3.09e+19 6.0 0.0 0.0 -5.768270758226218 1.1872673201005248
0.037167206811904906 2060.0 0.0 0.19 52.79 0.24 0.76 -1.29 2.4 -0.39 -4.19 1.0 0.0 3.09e+19 6.0 0.0 0.0 -5.748337341444252 1.1839281438873825
0.04396642062664032 2060.0 0.0 0.19 52.79 0.24 0.76 -1.29 2.4 -0.39 -4.19 1.0 0.0 3.09e+19 6.0 0.0 0.0 -5.67300479741643 1.1711434839612296
0.04817715876102448 2060.0 0.0 0.19 52.79 0.24 0.76 -1.29 2.4 -0.39 -4.19 1.0 0.0 3.09e+19 6.0 0.0 0.0 -5.6266483486158325 1.1631432276371005
0.053645338797569275 2060.0 0.0 0.19 52.79 0.24 0.76 -1.29 2.4 -0.39 -4.19 1.0 0.0 3.09e+19 6.0 0.0 0.0 -5.566787442542734 1.1526574211324987
0.05930109794139862 2060.0 0.0 0.19 52.79 0.24 0.76 -1.29 2.4 -0.39 -4.19 1.0 0.0 3.09e+19 6.0 0.0 0.0 -5.505275856460584 1.1416949823035947
0.05980573282241822 2060.0 0.0 0.19 52.79 0.24 0.76 -1.29 2.4 -0.39 -4.19 1.0 0.0 3.09e+19 6.0 0.0 0.0 -5.499807388770331 1.1407109942321672
0.06965984537601472 2060.0 0.0 0.19 52.79 0.24 0.76 -1.29 2.4 -0.39 -4.19 1.0 0.0 3.09e+19 6.0 0.0 0.0 -5.393676868049293 1.1212998095932214
0.07051312901973725 2060.0 0.0 0.19 52.79 0.24 0.76 -1.29 2.4 -0.39 -4.19 1.0 0.0 3.09e+19 6.0 0.0 0.0 -5.384545334696128 1.1196011018595804
0.07669143483638764 2060.0 0.0 0.19 52.79 0.24 0.76 -1.29 2.4 -0.39 -4.19 1.0 0.0 3.09e+19 6.0 0.0 0.0 -5.318705389686967 1.107214547980728
0.08359774410724641 2060.0 0.0 0.19 52.79 0.24 0.76 -1.29 2.4 -0.39 -4.19 1.0 0.0 3.09e+19 6.0 0.0 0.0 -5.2456857130740095 1.0931843871894342
0.10016772093772888 2060.0 0.0 0.19 52.79 0.24 0.76 -1.29 2.4 -0.39 -4.19 1.0 0.0 3.09e+19 6.0 0.0 0.0 -5.072982254752527 1.0586973453707098
0.1030570464849472 2060.0 0.0 0.19 52.79 0.24 0.76 -1.29 2.4 -0.39 -4.19 1.0 0.0 3.09e+19 6.0 0.0 0.0 -5.043227468715089 1.0525601095635742
0.10545872776508332 2060.0 0.0 0.19 52.79 0.24 0.76 -1.29 2.4 -0.39 -4.19 1.0 0.0 3.09e+19 6.0 0.0 0.0 -5.0185758164906735 1.0474298585528992
0.10827773673534394 2060.0 0.0 0.19 52.79 0.24 0.76 -1.29 2.4 -0.39 -4.19 1.0 0.0 3.09e+19 6.0 0.0 0.0 -4.989734712765539 1.0413743801093427
0.10970037653446198 2060.0 0.0 0.19 52.79 0.24 0.76 -1.29 2.4 -0.39 -4.19 1.0 0.0 3.09e+19 6.0 0.0 0.0 -4.975218370998655 1.0383044463134505
0.11200441296100618 2060.0 0.0 0.19 52.79 0.24 0.76 -1.29 2.4 -0.39 -4.19 1.0 0.0 3.09e+19 6.0 0.0 0.0 -4.951763345645049 1.0333124559206233
0.11226582276821137 2060.0 0.0 0.19 52.79 0.24 0.76 -1.29 2.4 -0.39 -4.19 1.0 0.0 3.09e+19 6.0 0.0 0.0 -4.949106490377116 1.032744500761804
0.11393629353046418 2060.0 0.0 0.19 52.79 0.24 0.76 -1.29 2.4 -0.39 -4.19 1.0 0.0 3.09e+19 6.0 0.0 0.0 -4.932149193201999 1.0291074956406725
0.11563695845603943 2060.0 0.0 0.19 52.79 0.24 0.76 -1.29 2.4 -0.39 -4.19 1.0 0.0 3.09e+19 6.0 0.0 0.0 -4.914922053957513 1.0253911119430552
0.11741380820274354 2060.0 0.0 0.19 52.79 0.24 0.76 -1.29 2.4 -0.39 -4.19 1.0 0.0 3.09e+19 6.0 0.0 0.0 -4.89696270406961 1.021493434969603
0.11752185895442963 2060.0 0.0 0.19 52.79 0.24 0.76 -1.29 2.4 -0.39 -4.19 1.0 0.0 3.09e+19 6.0 0.0 0.0 -4.895871893161688 1.0212559253798899
0.11880359265804291 2060.0 0.0 0.19 52.79 0.24 0.76 -1.29 2.4 -0.39 -4.19 1.0 0.0 3.09e+19 6.0 0.0 0.0 -4.882943724907661 1.0184341962377028
0.12100176186561584 2060.0 0.0 0.19 52.79 0.24 0.76 -1.29 2.4 -0.39 -4.19 1.0 0.0 3.09e+19 6.0 0.0 0.0 -4.860820871536792 1.0135763254394057
0.1214413684129715 2060.0 0.0 0.19 52.79 0.24 0.76 -1.29 2.4 -0.39 -4.19 1.0 0.0 3.09e+19 6.0 0.0 0.0 -4.85640399022311 1.012601973501973
