,day,dayPath,cand,candPath,model,fitPath,json,fitBool,sampling_time,sampler,log_evidence,log_evidence_err,log_noise_evidence,log_bayes_factor
15,2459778-2459785,./candidate_data/pipelineStructureExample/candidates/partnership/2459778-2459785/,ZTF22aatuvld,./candidate_data/pipelineStructureExample/candidates/partnership/2459778-2459785/lc_ZTF22aatuvld_forced1_stacked0.csv,Bu2019lm,./candidate_data/pipelineStructureExample/candidate_fits/2459778-2459785/ZTF22aatuvld/,./candidate_data/pipelineStructureExample/candidate_fits/2459778-2459785/ZTF22aatuvld/Bu2019lm_result.json,True,5846.227213,pymultinest,-29.218240025888193,0.09487016047203584,0.0,-29.218240025888193
14,2459778-2459785,./candidate_data/pipelineStructureExample/candidates/partnership/2459778-2459785/,ZTF22aatuvld,./candidate_data/pipelineStructureExample/candidates/partnership/2459778-2459785/lc_ZTF22aatuvld_forced1_stacked0.csv,Piro2021,./candidate_data/pipelineStructureExample/candidate_fits/2459778-2459785/ZTF22aatuvld/,False,False,0.0,0,0.0,0.0,0.0,0.0
12,2459778-2459785,./candidate_data/pipelineStructureExample/candidates/partnership/2459778-2459785/,ZTF22aatuvld,./candidate_data/pipelineStructureExample/candidates/partnership/2459778-2459785/lc_ZTF22aatuvld_forced1_stacked0.csv,TrPi2018,./candidate_data/pipelineStructureExample/candidate_fits/2459778-2459785/ZTF22aatuvld/,./candidate_data/pipelineStructureExample/candidate_fits/2459778-2459785/ZTF22aatuvld/TrPi2018_result.json,True,5672.939073,pymultinest,-23.829066262440275,0.2637369385360064,0.0,-23.829066262440275
13,2459778-2459785,./candidate_data/pipelineStructureExample/candidates/partnership/2459778-2459785/,ZTF22aatuvld,./candidate_data/pipelineStructureExample/candidates/partnership/2459778-2459785/lc_ZTF22aatuvld_forced1_stacked0.csv,nugent-hyper,./candidate_data/pipelineStructureExample/candidate_fits/2459778-2459785/ZTF22aatuvld/,./candidate_data/pipelineStructureExample/candidate_fits/2459778-2459785/ZTF22aatuvld/nugent-hyper_result.json,True,47.081984,pymultinest,-17.231945325437042,0.0828695552494185,0.0,-17.231945325437042
19,2459778-2459785,./candidate_data/pipelineStructureExample/candidates/partnership/2459778-2459785/,ZTF22aaujrib,./candidate_data/pipelineStructureExample/candidates/partnership/2459778-2459785/lc_ZTF22aaujrib_forced1_stacked0.csv,Bu2019lm,./candidate_data/pipelineStructureExample/candidate_fits/2459778-2459785/ZTF22aaujrib/,./candidate_data/pipelineStructureExample/candidate_fits/2459778-2459785/ZTF22aaujrib/Bu2019lm_result.json,True,3703.887337,pymultinest,-8.466909917801887,0.07302418627763109,0.0,-8.466909917801887
18,2459778-2459785,./candidate_data/pipelineStructureExample/candidates/partnership/2459778-2459785/,ZTF22aaujrib,./candidate_data/pipelineStructureExample/candidates/partnership/2459778-2459785/lc_ZTF22aaujrib_forced1_stacked0.csv,Piro2021,./candidate_data/pipelineStructureExample/candidate_fits/2459778-2459785/ZTF22aaujrib/,False,False,0.0,0,0.0,0.0,0.0,0.0
16,2459778-2459785,./candidate_data/pipelineStructureExample/candidates/partnership/2459778-2459785/,ZTF22aaujrib,./candidate_data/pipelineStructureExample/candidates/partnership/2459778-2459785/lc_ZTF22aaujrib_forced1_stacked0.csv,TrPi2018,./candidate_data/pipelineStructureExample/candidate_fits/2459778-2459785/ZTF22aaujrib/,./candidate_data/pipelineStructureExample/candidate_fits/2459778-2459785/ZTF22aaujrib/TrPi2018_result.json,True,3291.725043,pymultinest,-11.663788341217336,0.225062627424293,0.0,-11.663788341217336
17,2459778-2459785,./candidate_data/pipelineStructureExample/candidates/partnership/2459778-2459785/,ZTF22aaujrib,./candidate_data/pipelineStructureExample/candidates/partnership/2459778-2459785/lc_ZTF22aaujrib_forced1_stacked0.csv,nugent-hyper,./candidate_data/pipelineStructureExample/candidate_fits/2459778-2459785/ZTF22aaujrib/,./candidate_data/pipelineStructureExample/candidate_fits/2459778-2459785/ZTF22aaujrib/nugent-hyper_result.json,True,25.737461,pymultinest,-6.525253715032008,0.06529946979364834,0.0,-6.525253715032008
55,2459779-2459786,./candidate_data/pipelineStructureExample/candidates/partnership/2459779-2459786/,ZTF22aatuvld,./candidate_data/pipelineStructureExample/candidates/partnership/2459779-2459786/lc_ZTF22aatuvld_forced1_stacked0.csv,Bu2019lm,./candidate_data/pipelineStructureExample/candidate_fits/2459779-2459786/ZTF22aatuvld/,./candidate_data/pipelineStructureExample/candidate_fits/2459779-2459786/ZTF22aatuvld/Bu2019lm_result.json,True,6977.676798,pymultinest,-29.218240025888193,0.09487016047203584,0.0,-29.218240025888193
54,2459779-2459786,./candidate_data/pipelineStructureExample/candidates/partnership/2459779-2459786/,ZTF22aatuvld,./candidate_data/pipelineStructureExample/candidates/partnership/2459779-2459786/lc_ZTF22aatuvld_forced1_stacked0.csv,Piro2021,./candidate_data/pipelineStructureExample/candidate_fits/2459779-2459786/ZTF22aatuvld/,False,False,0.0,0,0.0,0.0,0.0,0.0
