luminosity_distance KNtimeshift inclination_EM log10_E0 thetaCore thetaWing log10_n0 p log10_epsilon_e log10_epsilon_B Ebv ksiN L0 dL b q ts log_likelihood log_prior
2772.06350591374 -0.2032902685820428 1.1044320496854592 63.85051063737288 1.452740789081269 0.6105952038823022 11.529274887129143 3.9109541927509723 -2.647571484088095 -10.085956605885048 0.2476746442108353 1.0 0.0 3.09e+19 6.0 0.0 0.0 -14.611264957752413 -25.776030899409154
5069.686110187146 0.9165316986901564 1.2227087658267604 59.46743050270592 1.2193222502781393 0.7032504003517683 7.931307292819559 3.324355548754272 -0.6718409508726975 -11.068687655628963 0.2104273282864493 1.0 0.0 3.09e+19 6.0 0.0 0.0 -14.057700729014103 -25.616354152229412
1843.5399420668182 -1.6443423673781767 0.37480211429548654 66.3992503276908 0.9705894552031049 1.080306474620135 10.79747019888888 2.5637075026322 -10.47540536362522 -10.45903259041784 0.2718923945570536 1.0 0.0 3.09e+19 6.0 0.0 0.0 -13.866004221524106 -26.745483353964264
4229.068734820203 -1.7243130529412907 0.7682910038277149 58.64497941778883 0.7539667177602217 1.2970859781035813 10.551640313504256 2.3993907483089227 -4.081102054814133 -7.236035478137617 0.4250294949226593 1.0 0.0 3.09e+19 6.0 0.0 0.0 -13.375338827213426 -26.817102880808815
407.65994787216187 -1.3514983654022217 0.728316996282152 77.80889117717743 0.28930714748965886 1.2518550935437602 13.646031618118286 3.1240200996398926 -14.171334207057953 -13.50050300359726 0.27637481925487517 1.0 0.0 3.09e+19 6.0 0.0 0.0 -13.049357722492958 -26.1626759329344
4030.8541544730706 -0.35548283614399656 1.0198000576653636 62.81852991596499 0.34841739487632234 0.8943317072185967 8.938489493634416 3.5943200095893433 -4.670381393818101 -3.1679958086717477 0.3899063441948492 1.0 0.0 3.09e+19 6.0 0.0 0.0 -12.905707046875305 -26.399525335340883
1707.7216992800309 -1.7886995937366195 0.6667516542975986 66.34559666500512 0.2689360939424578 1.1091914939429046 4.268585208215437 3.3946954973795105 -7.933388647501173 -1.0519934748978592 0.12119890102987363 1.0 0.0 3.09e+19 6.0 0.0 0.0 -12.543736723173742 -25.814723415104215
1178.775257805043 -1.9594352796567636 0.5710748496682967 61.26384979826609 1.0596158318639934 0.7067211607597114 8.842929263333275 3.0155579133111523 -6.490801271641647 -0.589036182938484 0.1652127451621366 1.0 0.0 3.09e+19 6.0 0.0 0.0 -12.488999512358745 -26.051995603095968
2788.53363138213 -1.5310369922484288 1.4263920351679638 73.99585111606086 0.6732102143533457 1.4067517689941464 4.04081642061823 8.903626035843224 -2.101427377102924 -10.964660570783266 0.2821477883997856 1.0 0.0 3.09e+19 6.0 0.0 0.0 -12.444647763382024 -25.785788437009764
2562.9599735566685 0.9209505407210243 1.416097126618055 66.84033038896057 0.8085279105938518 0.9984472975678664 13.309941556339046 3.6755936047463615 -4.708967591181109 -4.373446978002503 0.3990939180301291 1.0 0.0 3.09e+19 6.0 0.0 0.0 -12.439914448080614 -26.303030603490754
5678.528997184317 0.10866848066038948 1.1957717389853766 63.14998089405836 0.358552455711958 0.8269946600687008 10.489603621619603 2.0303255066340333 -3.760983445025113 -9.235716574602385 0.3520437478285102 1.0 0.0 3.09e+19 6.0 0.0 0.0 -12.363871255547464 -26.122865064578367
6968.590593356977 -0.7279183854598539 1.1152199382552939 61.41377030178553 0.6956035439576207 0.8779597596153308 9.405307560225406 3.7799141645370105 -3.3487532506855313 -4.41045283876019 0.43625541440377325 1.0 0.0 3.09e+19 6.0 0.0 0.0 -12.358848782140175 -26.63993526041987
4485.335620424516 -1.2991300314802374 0.6660511614761528 73.15425584401305 0.6897539928880134 1.4207414612748408 12.351996210700774 2.975066537923541 -13.28346300888235 -4.043774634099494 0.09694687806064221 1.0 0.0 3.09e+19 6.0 0.0 0.0 -12.320897226258582 -25.763259004439504
4237.611766955048 0.054189144866723105 1.241647913383565 66.18858875495026 0.86672082258269 0.5888004934062454 14.473386356552385 2.019355444613095 -4.147244519679804 -3.657068624405543 0.3994451403836971 1.0 0.0 3.09e+19 6.0 0.0 0.0 -12.189010275135082 -26.34822197122121
1613.4214588523143 -1.7345727605697234 0.8071193489338502 57.355695390613974 1.3558474502171047 1.2135575775234009 5.998928787149143 2.0481924263297766 -4.88074101930146 -1.1210498875908108 0.21071281763824512 1.0 0.0 3.09e+19 6.0 0.0 0.0 -12.154862565752357 -25.88061376538308
1679.5049583797488 -0.6886582167793429 0.8639325647605433 56.79210584289327 0.3002864547031903 0.30553004275239826 5.738734578200089 4.400768933689766 -0.370832627597089 -8.393042545668123 0.27066604785885684 1.0 0.0 3.09e+19 6.0 0.0 0.0 -12.100054982494212 -26.010437710761796
4054.0008494473877 0.06979185431963986 0.8220749851362115 58.600074376077885 0.21803659618811946 0.7915224744647089 9.449525424659186 2.1778350130529103 -4.302162665117356 -7.0759749590400975 0.3521834335864436 1.0 0.0 3.09e+19 6.0 0.0 0.0 -12.081085003106848 -26.362674713901985
659.7485851809968 0.152245195200587 1.1002391644826783 57.65257579466471 0.5135017491856789 0.3864723439439855 8.426224813437218 4.730715528559898 -1.3508341488199296 -6.869626446645631 0.42372158562801326 1.0 0.0 3.09e+19 6.0 0.0 0.0 -12.009037623026856 -26.559346718277116
55.390735539839675 0.5964156433104737 1.100354685791658 66.45265275168596 1.0519909016895628 0.8438804706282831 7.789691763812348 7.4658451851529355 -2.7423763218275177 -7.921433218533339 0.5472213187314425 1.0 0.0 3.09e+19 6.0 0.0 0.0 -11.973880755852015 -28.33507599039828
2842.5281230551172 0.24928262823803582 1.3363976180563493 63.008664408095285 0.7165908183448126 0.7769537711762942 10.653188577373447 7.75886985316969 -1.8217812731041594 -3.3679095144560094 0.43119785445754577 1.0 0.0 3.09e+19 6.0 0.0 0.0 -11.826205162164502 -26.523610103250228
4269.274531827792 0.7311203300773768 1.3282594051125165 64.18291574417952 0.6114798488788507 0.28195489244917693 14.58693389968673 3.058239907951224 -2.833003488075917 -0.5600963471054037 0.31655222699231794 1.0 0.0 3.09e+19 6.0 0.0 0.0 -11.813464376138668 -25.93119834949183
5810.349876520515 -1.1966962384277813 0.6321062899854156 55.76487617518803 1.226965198347679 0.24745035042551872 4.1394188174538895 5.341870526455994 -0.032869278458385054 -5.538038342865848 0.1235627416628732 1.0 0.0 3.09e+19 6.0 0.0 0.0 -11.78682485625783 -25.865616473459053
1532.5873124400555 -1.3483868665171614 0.2846166959388085 66.37224696161088 0.7627240654053482 1.2965705776757421 5.4647670564557576 2.548030545939936 -10.882422215445455 -6.702312446170398 0.20833338918896144 1.0 0.0 3.09e+19 6.0 0.0 0.0 -11.725269386899468 -26.818888776877653
5785.394829469537 -0.05954142326529577 0.6020051011494989 65.53222773079894 0.9975171083445803 0.3020779106485248 13.457731426089127 2.190239119147643 -6.829212740971974 -10.80965835896557 0.16305792251416396 1.0 0.0 3.09e+19 6.0 0.0 0.0 -11.715914753215738 -26.000162740263274
1954.7955504083907 -0.23698953956181956 1.275907422856146 65.54887512050045 1.4502949214096559 0.8214740802464559 12.930562857260334 4.651461058692437 -5.056224661385942 -2.984666839809325 0.1930373465753517 1.0 0.0 3.09e+19 6.0 0.0 0.0 -11.656232139749639 -25.551708227159786
6576.638788452971 0.14160121720960106 1.1334306097883937 58.18152777051387 0.18245194425253605 0.4576819338756377 10.213276723758241 2.00035325979357 -0.650044593528337 -10.322002938914736 0.3998699102271934 1.0 0.0 3.09e+19 6.0 0.0 0.0 -11.632478145615972 -26.39436312838297
1078.6519270673832 -1.4738960844660167 0.5756408901086544 59.183287960029084 0.6263444767846803 0.33765100193752107 13.68276775184932 2.220717621165518 -5.60141871557212 -11.57120345739989 0.02865666815332957 1.0 0.0 3.09e+19 6.0 0.0 0.0 -11.526145369451015 -25.755720126996614
4907.293731706817 0.44397434128257585 1.5485417640803276 62.15729691981814 0.25732368997124133 0.6505643270170232 11.599496259406191 2.7504075778194528 -1.6121990521508085 -10.872769874049961 0.3756303833069218 1.0 0.0 3.09e+19 6.0 0.0 0.0 -11.518843021952055 -26.16429000603502
958.8242981504573 0.29972911518294065 1.2902511462821276 64.32697381602132 0.9598020632187526 0.4380910473385682 12.554898408618689 6.629161259699607 -3.146257361792145 -6.840572891236148 0.2921691126094344 1.0 0.0 3.09e+19 6.0 0.0 0.0 -11.461257881052848 -25.850342191047204
1475.719705666121 0.5979555391410059 1.2416104769021923 65.5470972290808 1.2631765657094547 0.6007423873141926 12.316529717712372 3.580636796277494 -3.9550280890991267 -3.96574629986503 0.23197995227270854 1.0 0.0 3.09e+19 6.0 0.0 0.0 -11.404060959364616 -25.671085103115185
4092.769722240563 -0.3797703960483392 0.6079752720360104 68.87748375382992 1.3875959710177759 0.32242581504530565 12.356978154394174 5.079520925380844 -3.326502820340581 -6.0175949191004 0.47877608580830566 1.0 0.0 3.09e+19 6.0 0.0 0.0 -11.40167393768333 -27.46679419297589
2662.1349220178263 -0.6535529720943734 0.35570324815774085 59.767355399356795 0.7363682821243123 1.3539810299300876 8.14310017787284 2.2366153703833236 -6.9736329416626095 -1.6406301711191738 0.07403049395507771 1.0 0.0 3.09e+19 6.0 0.0 0.0 -11.381402077462086 -26.28956974956606
4431.11738145592 0.4428066611271424 1.272053742511249 58.069543296605694 1.068476050309562 1.051357388529516 7.211013296963173 2.3440611316308866 -2.8639456685927254 -10.413013279442023 0.30386255500535514 1.0 0.0 3.09e+19 6.0 0.0 0.0 -11.351046974913391 -25.898389132253467
2180.505970161174 -1.1685876982405123 0.699951211165434 61.57999570418231 0.27542966938412367 0.14975586634868604 12.117584958782295 4.056353369824931 -3.4551472825976433 -6.319818009247845 0.4115232395947903 1.0 0.0 3.09e+19 6.0 0.0 0.0 -11.344200257360134 -26.80521384358896
4572.120420413203 -0.7506067524678599 0.4962275533027211 63.34675419314227 1.0671156095661642 1.051574084038393 4.115956270676603 2.9656416013759292 -5.170593463044501 -11.886659231092569 0.03269286489155349 1.0 0.0 3.09e+19 6.0 0.0 0.0 -11.339087270882168 -25.89715249389465
2189.508934261455 -0.13701120777522569 1.0976495851569783 67.89749452669473 0.8643568066672829 0.43359247624101394 14.148352814169316 4.706961058634851 -3.050141131296476 -4.871332325549613 0.07370130743695932 1.0 0.0 3.09e+19 6.0 0.0 0.0 -11.316048758307103 -25.35045176591989
6109.1935666855325 -0.3819969713746083 1.1108686683848472 62.23922871531069 0.5444667873125735 0.4426058572865983 11.890703818735716 2.084548140811861 -2.4076760849876155 -9.310143918320044 0.4250534065150075 1.0 0.0 3.09e+19 6.0 0.0 0.0 -11.295422384595518 -26.56300878684135
6672.499688067383 -0.49325748851487683 1.0291568065021774 62.30086570983199 0.18038917617721206 0.7488409360932335 8.986258404010847 2.9311600959621065 -3.6213729881173133 -3.897222651663757 0.2464140874935602 1.0 0.0 3.09e+19 6.0 0.0 0.0 -11.292864678807668 -25.81369714605236
706.4615822285684 0.22046562603409914 1.4057924083474884 59.878970322801145 1.0281808821017175 0.6653175355104185 12.29206366421267 4.031645189409465 -3.634484870865105 -4.803956477584023 0.22997301344059226 1.0 0.0 3.09e+19 6.0 0.0 0.0 -11.28152228382225 -25.62369285310805
4936.071933858988 -1.7974723409925912 1.5028642308883333 76.75939803333053 0.49982746790123916 1.3666900458491302 13.14784439103216 9.468649675335966 -2.1450366054465952 -10.432510832900483 0.24606326936491896 1.0 0.0 3.09e+19 6.0 0.0 0.0 -11.27035391693852 -25.660455336142505
2798.415969757724 -0.800053120274022 1.0358875331774815 55.37998089799275 0.7620888105967403 1.5309539619235535 6.148975146299945 2.748023168465447 -1.7660358388926163 -7.436489619567743 0.034728563760469 1.0 0.0 3.09e+19 6.0 0.0 0.0 -11.240632748335816 -25.3092848092405
576.5949346748289 -1.4199272122155377 0.7752047345689566 55.45385434433623 1.0509996420763974 1.120324206178847 6.326212461131904 2.5008075772524307 -3.3072186337881107 -5.8750921518907155 0.08358355825144377 1.0 0.0 3.09e+19 6.0 0.0 0.0 -11.201349545844462 -25.610960533008278
3483.5635316857056 -1.2343036582517435 0.9990987050636018 57.48859831185576 0.6968336086355219 1.5686096041804871 8.046007579034152 2.4928439505197293 -3.584480463076588 -7.2182598121186805 0.043583762023548314 1.0 0.0 3.09e+19 6.0 0.0 0.0 -11.134178599037448 -25.34861797844049
1415.0222732737761 -1.4190299732224618 1.0475609227263505 67.88274190685135 0.8930265417117729 0.2501975188976899 14.034413396899925 7.498623864484735 -4.325240407887035 -4.351255834119845 0.4928787323766231 1.0 0.0 3.09e+19 6.0 0.0 0.0 -11.089657601778777 -27.213682767217854
1809.4504027013854 -0.2767283064673509 0.9462340578266719 63.938232194544256 0.04668009533231287 0.17379212682481243 11.61894952255121 5.559436767801999 -2.0540441602050823 -9.709267831019838 0.4513389297321132 1.0 0.0 3.09e+19 6.0 0.0 0.0 -11.085941921281172 -26.858997838306372
415.8390849633336 -0.46686056000780063 1.0312594896940834 56.54979635678347 0.8851745595854418 0.47981033122792366 11.164331597128792 2.0319887865462998 -2.7781283471575033 -13.039587093585377 0.25154072283501794 1.0 0.0 3.09e+19 6.0 0.0 0.0 -11.084217582307836 -25.828286582241923
2972.551018251624 -0.98038505929706 0.9668201774035448 57.753515781230185 0.7568060292250708 0.6611590414484936 7.459405910525877 2.4146161736435157 -3.396909307122538 -8.734868034876616 0.28963203531660925 1.0 0.0 3.09e+19 6.0 0.0 0.0 -10.99718407683796 -25.9961463156369
5135.7612510573135 -0.404481791340104 1.2959303458697962 61.03142163570804 0.7981364626332121 0.9127673376030219 8.111090852722336 3.5224124207670924 -1.2684422887323414 -8.228329897251653 0.49538134660481437 1.0 0.0 3.09e+19 6.0 0.0 0.0 -10.991524675991442 -27.140289423376014
231.9057583808899 -1.6802395582199097 0.47983171056281826 65.9625256061554 0.6051055177593655 0.39709710498547585 12.872737348079681 2.0127100944519043 -14.28916722536087 -6.544845700263977 0.4302790414810181 1.0 0.0 3.09e+19 6.0 0.0 0.0 -10.93139015753145 -27.262389220637214
4867.519636945395 -0.01062587724257602 1.4906298853778528 60.1803468794408 0.7501091377110072 0.8357031195069359 9.456286185132425 5.806489746029464 -1.170188635283667 -8.11490564178214 0.49868099773847535 1.0 0.0 3.09e+19 6.0 0.0 0.0 -10.895920779110195 -27.149032117143555
1267.8535651032273 0.04885053091240632 1.4857277159105118 67.0046745266692 0.3618318488749438 0.8304968772102512 14.06468213427955 4.525841162857011 -4.4318584186082965 -6.074252492969931 0.18555255731470743 1.0 0.0 3.09e+19 6.0 0.0 0.0 -10.891066470834918 -25.491668235258494
6636.029771313274 0.12534169307274556 1.0569102421897159 66.87847243346242 1.1883215384328594 0.5937156749265776 13.586336796373649 2.249656064343145 -3.9744283461788648 -10.515134490368876 0.24169229326815245 1.0 0.0 3.09e+19 6.0 0.0 0.0 -10.867491135602041 -25.783137084001623
