,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459913.871,99,99,i,19.6,2,1
1,2459932.913,99,99,i,20.1,2,1
2,2459935.911,20.66,0.21,i,99,2,0
3,2459934.936,99,99,r,20.2,1,1
4,2459935.779,20.64,0.21,r,99,2,0
5,2459935.933,99,99,r,20.7,1,1
6,2459936.744,99,99,r,20.5,1,1
7,2459936.802,99,99,r,20.6,1,1
8,2459936.887,21.65,0.1,r,99,1,0
9,2459934.723,99,99,g,20.4,2,1
10,2459934.909,99,99,g,20.4,1,1
11,2459935.735,99,99,g,19.8,2,1
12,2459935.831,99,99,g,20.5,2,1
13,2459936.828,99,99,g,20.7,2,1
14,2459936.953,99,99,g,20.5,1,1
