luminosity_distance log10_Menv log10_Renv log10_Ee Ebv KNtimeshift log_likelihood log_prior
33.43247825629547 -0.542449666942681 13.292476912375376 49.36249662477074 0.31860579799841754 0.0 -12.217118423340471 -11.298318941841021
91.86019332265832 -0.6692457504420481 14.404067598704344 49.598145561721424 0.34210044908067117 0.0 -11.757205953306885 -11.39546179526341
245.80666235259827 -0.6818250336210365 13.776724566881208 50.50912664554487 0.0826965046751617 0.0 -11.57772061309264 -10.641042555738139
279.67806660477277 -1.218015723110582 12.399325387075042 51.833105640392326 0.29410442022778144 0.0 -11.107854680369122 -11.206158866661283
188.53017186567453 -1.8247370360310322 14.588122297962078 49.10791506159424 0.20408062024754173 0.0 -10.767478725783635 -10.925892210565781
549.5300492462418 -0.975016249830059 12.593956507936566 51.59526285236812 0.2126586539987633 0.0 -10.499750239571293 -10.949457362219533
426.4042203241799 -1.5456147423176314 13.97441500309065 50.806701976007524 0.2652289556398223 0.0 -10.271952364732808 -11.10743791191591
487.84838294072546 -2.1600627974110225 14.142984896220124 50.44766559388526 0.36285641023280135 0.0 -10.06163217618277 -11.489910868672869
552.6718331021756 -1.5548164695660462 12.849662876004533 50.96844545508927 0.1734462621187385 0.0 -9.89140825858196 -10.845997187098988
374.10190845631024 -1.9093792539472298 14.48119870819885 49.96706070710378 0.0828071038544047 0.0 -9.752261773260402 -10.641268430520638
453.23977231800814 -1.2271453442512827 12.471088651946243 51.47991158160526 0.14483270307878832 0.0 -9.090369341440237 -10.77673095642057
755.107641353588 -1.5641804832577897 12.247263769362718 51.69848796811837 0.21904291558120167 0.0 -9.057798027917306 -10.967363535874906
954.182168229924 -1.5066092665366315 14.149285202214857 51.60240695966277 0.2306029000479071 0.0 -9.029085960287986 -11.000625366095466
818.6322567052882 -2.143560684802979 14.709495349286101 50.10248114875951 0.0729789375664654 0.0 -8.97160879418267 -10.62139309967299
789.3037142308395 -1.5800900730670033 14.248457646064566 51.43323282263266 0.22278062927357453 0.0 -8.890528367380073 -10.97799760160418
689.8202696017548 -1.671071734391314 12.693953041663331 51.285612111196215 0.21399737715092582 0.0 -8.637263396694987 -10.953185652815664
299.7055108321132 -1.4166835075087048 12.70986714532783 51.23206919778126 0.4929951358645749 0.0 -8.612076312939417 -12.460283024578793
482.34063892586556 -1.3073197097078637 11.058579495036945 51.79119796442946 0.06294447348990721 0.0 -8.592594129558195 -10.601500091752374
20.629814494189574 -1.9947261542648382 10.210075671506043 49.79986635166119 0.1780666398628487 0.0 -8.548754618675567 -10.857646008824181
132.57066114957618 -2.516911481382465 14.595005915987606 48.31279066093886 0.1284876114515111 0.0 -8.445199353470535 -10.739215432234472
74.33704534435645 -1.5833185987954304 12.20037789785367 50.048866181863914 0.5533253826054939 0.0 -8.341603840927435 -13.886484133092708
287.2366868542008 -2.185222935404856 14.560489188432921 49.48098004253998 0.17327575539325935 0.0 -8.252570811628495 -10.845569893697052
261.2616895755478 -1.8069789038734863 13.120232863445587 50.35193330458236 0.3311327717901317 0.0 -8.221290220928033 -11.3489375021687
267.6830268661638 -1.4286414623546229 12.907421620408595 51.49103313963489 0.5168469430103995 0.0 -8.130989059994802 -12.817504106219532
453.2355260927905 -1.650154060522925 12.004066842173348 51.313379431843714 0.2015830889934618 0.0 -7.99473635828327 -10.919134212641454
36.72430311099803 -1.4702772454858994 11.59081546413391 49.06919275866293 0.11670125913927525 0.0 -7.931582352389583 -10.713010716929087
513.5826802735928 -1.501502606068399 11.504912072462728 51.75140627555702 0.06764354064993294 0.0 -7.903645764334555 -10.610766597868457
331.21365303241157 -2.2024199641949744 14.677319174934055 49.782348582761756 0.38683948019073044 0.0 -7.89056803167414 -11.611461570927101
94.51532074845554 -1.3782513357432729 11.745476543830128 50.60524096031652 0.47635517594495785 0.0 -7.749666520245954 -12.270027652371022
540.4874320351971 -1.552458776234904 11.993453691940145 51.7743534079529 0.20890570864541086 0.0 -7.656358124951686 -10.93907905992082
437.86504341352776 -1.938998990982964 14.140315261916411 50.32735526372262 0.11376475456308423 0.0 -7.6425072042446835 -10.7065874302165
110.79504602889251 -1.1904166611872924 11.472613377200874 50.96155683882418 0.4707085194572767 0.0 -7.640229726536834 -12.21289912303607
972.8026904978113 -1.536574802634802 13.190610833635198 51.8218595994224 0.3176731852003399 0.0 -7.557814173273969 -11.294650995727231
679.5502378267091 -1.4930147432357654 13.50217975702316 51.664186607073674 0.2697086486923965 0.0 -7.511949917280129 -11.122129008315657
