,jd,mag,mag_unc,filter,limmag,programid,forced
0,2458198.874213,99.0,99.0,r,20.4412,1,1
1,2458198.8828009,99.0,99.0,r,20.3267,1,1
2,2458198.9077199,99.0,99.0,r,20.8709,1,1
3,2458199.8171644,99.0,99.0,r,19.7213,1,1
4,2458202.7885301,99.0,99.0,g,20.2468,1,1
5,2458202.795,99.0,99.0,g,20.2905,1,1
6,2458202.7959606,99.0,99.0,g,20.2901,1,1
7,2458202.8174653,99.0,99.0,g,20.3961,1,1
8,2458202.8411458,99.0,99.0,g,20.628,1,1
9,2458202.8420602,99.0,99.0,g,20.6039,1,1
10,2458202.8632639,99.0,99.0,g,20.6157,1,1
11,2458203.8481944,99.0,99.0,g,20.2056,1,1
12,2458203.8661574,99.0,99.0,g,20.3594,1,1
13,2458204.7768981,99.0,99.0,g,19.6425,1,1
14,2458204.8040856,99.0,99.0,g,19.7523,1,1
15,2458204.8285764,99.0,99.0,g,19.646,1,1
16,2458204.8366551,99.0,99.0,g,19.6216,1,1
17,2458204.8561921,99.0,99.0,g,19.9135,1,1
18,2458204.8945139,99.0,99.0,g,19.9226,1,1
19,2458205.7835301,99.0,99.0,g,19.6361,1,1
20,2458205.7956944,99.0,99.0,g,19.7265,1,1
21,2458205.8233796,99.0,99.0,g,19.7137,1,1
22,2458205.8360648,99.0,99.0,g,19.6591,1,1
23,2458205.8527778,99.0,99.0,g,19.0619,1,1
24,2458205.8570023,99.0,99.0,g,19.1765,1,1
25,2458205.8579167,99.0,99.0,g,19.0709,1,1
26,2458205.8944097,99.0,99.0,g,19.32,1,1
27,2458206.7757523,99.0,99.0,g,19.6472,1,1
28,2458206.7955093,99.0,99.0,g,19.7858,1,1
29,2458206.8055093,99.0,99.0,g,19.8744,1,1
30,2458206.8156713,99.0,99.0,g,19.8176,1,1
31,2458206.8303009,99.0,99.0,g,20.0612,1,1
32,2458206.8357176,99.0,99.0,g,19.8613,1,1
33,2458206.8716319,99.0,99.0,g,19.865,1,1
34,2458206.876331,99.0,99.0,g,19.8636,1,1
35,2458208.7757986,99.0,99.0,g,16.6313,1,1
36,2458208.800544,99.0,99.0,g,18.6399,1,1
37,2458208.8014815,99.0,99.0,g,18.5673,1,1
38,2458208.8285185,99.0,99.0,g,18.157,1,1
39,2458208.8534028,99.0,99.0,g,17.968,1,1
40,2458208.8730208,99.0,99.0,g,18.8389,1,1
41,2458208.8739352,99.0,99.0,g,18.8563,1,1
42,2458208.8905671,99.0,99.0,g,18.5992,1,1
43,2458210.7677894,99.0,99.0,g,19.5951,1,1
44,2458210.7877894,99.0,99.0,g,18.9944,1,1
45,2458210.8115278,99.0,99.0,g,19.5154,1,1
46,2458210.8162963,99.0,99.0,g,19.4322,1,1
47,2458210.8359375,99.0,99.0,g,18.987,1,1
48,2458210.8794676,99.0,99.0,g,19.2046,1,1
49,2458211.8285995,99.0,99.0,g,19.4579,1,1
50,2458214.7334838,99.0,99.0,r,18.6264,1,1
51,2458214.7471296,99.0,99.0,r,18.5723,1,1
52,2458214.7480671,99.0,99.0,r,18.3501,1,1
53,2458214.7592824,99.0,99.0,g,18.8317,1,1
54,2458214.7602199,99.0,99.0,g,18.3872,1,1
55,2458214.7620949,99.0,99.0,g,19.175,1,1
56,2458214.7879051,99.0,99.0,g,18.9406,1,1
57,2458214.7930787,99.0,99.0,g,17.4609,1,1
58,2458214.8152894,99.0,99.0,r,19.2606,1,1
59,2458214.8567477,99.0,99.0,i,18.6607,1,1
60,2458215.7377315,99.0,99.0,r,17.7431,1,1
61,2458215.765787,99.0,99.0,g,19.0168,1,1
62,2458215.7765972,99.0,99.0,r,18.6396,1,1
63,2458216.725625,99.0,99.0,r,20.1104,1,1
64,2458216.74625,99.0,99.0,r,20.5404,1,1
65,2458216.7472222,99.0,99.0,r,20.542,1,1
66,2458216.7699884,99.0,99.0,g,20.4075,1,1
67,2458217.7352778,99.0,99.0,r,20.397,1,1
68,2458217.7646412,99.0,99.0,r,20.5691,1,1
69,2458217.7755556,99.0,99.0,r,20.4823,1,1
70,2458217.788206,99.0,99.0,r,20.3155,1,1
71,2458217.7891667,99.0,99.0,r,20.5492,1,1
72,2458217.7947685,99.0,99.0,r,18.9686,1,1
73,2458217.7956829,99.0,99.0,r,18.7603,1,1
74,2458217.7965972,99.0,99.0,r,19.6809,1,1
75,2458217.8143866,99.0,99.0,r,20.6001,1,1
76,2458217.8359722,99.0,99.0,r,19.6119,1,1
77,2458218.7459606,99.0,99.0,r,20.4928,1,1
78,2458218.7521065,99.0,99.0,r,20.5648,1,1
79,2458218.784294,99.0,99.0,r,20.5069,1,1
80,2458218.7852315,99.0,99.0,r,20.4868,1,1
81,2458218.8097569,99.0,99.0,r,20.6593,1,1
82,2458218.8106713,99.0,99.0,r,20.6369,1,1
83,2458218.8534954,99.0,99.0,r,20.581,1,1
84,2458218.8568519,99.0,99.0,r,20.5823,1,1
85,2458218.8804282,99.0,99.0,r,20.711,1,1
86,2458219.7373032,99.0,99.0,r,20.101,1,1
87,2458219.7382755,99.0,99.0,r,19.8879,1,1
88,2458219.7683912,99.0,99.0,r,20.4306,1,1
89,2458219.7745139,99.0,99.0,r,20.5502,1,1
90,2458219.7958218,99.0,99.0,r,19.2392,1,1
91,2458219.7967361,99.0,99.0,r,19.3559,1,1
92,2458219.8353009,99.0,99.0,r,20.5929,1,1
93,2458219.8579745,99.0,99.0,r,20.5058,1,1
94,2458221.7482407,99.0,99.0,r,19.9979,1,1
95,2458221.7644329,99.0,99.0,r,19.9116,1,1
96,2458221.7653704,99.0,99.0,r,19.9144,1,1
97,2458221.7663542,99.0,99.0,r,19.9539,1,1
98,2458221.7760417,99.0,99.0,r,20.0764,1,1
99,2458222.7671181,99.0,99.0,r,20.1711,1,1
100,2458222.7893287,99.0,99.0,r,20.1697,1,1
101,2458222.7902431,99.0,99.0,r,20.0226,1,1
102,2458222.7944907,99.0,99.0,r,20.1489,1,1
103,2458222.8301505,99.0,99.0,r,20.3195,1,1
104,2458222.8562963,99.0,99.0,r,20.412,1,1
105,2458223.8187963,99.0,99.0,g,20.9205,1,1
106,2458224.7166551,99.0,99.0,r,18.9473,1,1
107,2458224.7403125,99.0,99.0,r,20.0902,1,1
108,2458224.7566898,99.0,99.0,r,20.009,1,1
109,2458224.7581366,99.0,99.0,r,19.9902,1,1
110,2458224.7695023,99.0,99.0,r,20.3226,1,1
111,2458224.7736921,99.0,99.0,r,20.354,1,1
112,2458224.795081,99.0,99.0,r,20.0962,1,1
113,2458224.827963,99.0,99.0,r,18.9562,1,1
114,2458224.8288889,99.0,99.0,r,19.0576,1,1
115,2458224.8316319,99.0,99.0,r,19.0501,1,1
