,day,startDate,stopDate,dayPath,cand,candPath,model,fitPath,json,fitBool,sampling_time,sampler,log_evidence,log_evidence_err,log_noise_evidence,log_bayes_factor,startDay,stopDay
28,2459782-2459789,,,./candidate_data/pipelineStructureExample/candidates/partnership/2459782-2459789/,ZTF22aatuvld,./candidate_data/pipelineStructureExample/candidates/partnership/2459782-2459789/lc_ZTF22aatuvld_forced1_stacked0.csv,TrPi2018,./candidate_data/pipelineStructureExample/candidate_fits/2459782-2459789/ZTF22aatuvld/,./candidate_data/pipelineStructureExample/candidate_fits/2459782-2459789/ZTF22aatuvld/TrPi2018_result.json,True,4209.77553,pymultinest,-23.347424347692304,0.2559223949819126,0.0,-23.347424347692304,2022-07-21 12:00:00,2022-07-28 12:00:00
29,2459782-2459789,,,./candidate_data/pipelineStructureExample/candidates/partnership/2459782-2459789/,ZTF22aatuvld,./candidate_data/pipelineStructureExample/candidates/partnership/2459782-2459789/lc_ZTF22aatuvld_forced1_stacked0.csv,nugent-hyper,./candidate_data/pipelineStructureExample/candidate_fits/2459782-2459789/ZTF22aatuvld/,./candidate_data/pipelineStructureExample/candidate_fits/2459782-2459789/ZTF22aatuvld/nugent-hyper_result.json,True,31.765106,pymultinest,-17.231945325437042,0.0828695552494185,0.0,-17.231945325437042,2022-07-21 12:00:00,2022-07-28 12:00:00
35,2459782-2459789,,,./candidate_data/pipelineStructureExample/candidates/partnership/2459782-2459789/,ZTF22aauqgqd,./candidate_data/pipelineStructureExample/candidates/partnership/2459782-2459789/lc_ZTF22aauqgqd_forced1_stacked0.csv,Bu2019lm,./candidate_data/pipelineStructureExample/candidate_fits/2459782-2459789/ZTF22aauqgqd/,,False,,,,,,,2022-07-21 12:00:00,2022-07-28 12:00:00
34,2459782-2459789,,,./candidate_data/pipelineStructureExample/candidates/partnership/2459782-2459789/,ZTF22aauqgqd,./candidate_data/pipelineStructureExample/candidates/partnership/2459782-2459789/lc_ZTF22aauqgqd_forced1_stacked0.csv,Piro2021,./candidate_data/pipelineStructureExample/candidate_fits/2459782-2459789/ZTF22aauqgqd/,,False,,,,,,,2022-07-21 12:00:00,2022-07-28 12:00:00
32,2459782-2459789,,,./candidate_data/pipelineStructureExample/candidates/partnership/2459782-2459789/,ZTF22aauqgqd,./candidate_data/pipelineStructureExample/candidates/partnership/2459782-2459789/lc_ZTF22aauqgqd_forced1_stacked0.csv,TrPi2018,./candidate_data/pipelineStructureExample/candidate_fits/2459782-2459789/ZTF22aauqgqd/,./candidate_data/pipelineStructureExample/candidate_fits/2459782-2459789/ZTF22aauqgqd/TrPi2018_result.json,True,2101.322987,pymultinest,-15.812313756934058,0.23228015909822805,0.0,-15.812313756934058,2022-07-21 12:00:00,2022-07-28 12:00:00
33,2459782-2459789,,,./candidate_data/pipelineStructureExample/candidates/partnership/2459782-2459789/,ZTF22aauqgqd,./candidate_data/pipelineStructureExample/candidates/partnership/2459782-2459789/lc_ZTF22aauqgqd_forced1_stacked0.csv,nugent-hyper,./candidate_data/pipelineStructureExample/candidate_fits/2459782-2459789/ZTF22aauqgqd/,./candidate_data/pipelineStructureExample/candidate_fits/2459782-2459789/ZTF22aauqgqd/nugent-hyper_result.json,True,30.959652,pymultinest,-10.970607868740966,0.07474795033031076,0.0,-10.970607868740966,2022-07-21 12:00:00,2022-07-28 12:00:00
39,2459782-2459789,,,./candidate_data/pipelineStructureExample/candidates/partnership/2459782-2459789/,ZTF22aawacjw,./candidate_data/pipelineStructureExample/candidates/partnership/2459782-2459789/lc_ZTF22aawacjw_forced1_stacked0.csv,Bu2019lm,./candidate_data/pipelineStructureExample/candidate_fits/2459782-2459789/ZTF22aawacjw/,,False,,,,,,,2022-07-21 12:00:00,2022-07-28 12:00:00
38,2459782-2459789,,,./candidate_data/pipelineStructureExample/candidates/partnership/2459782-2459789/,ZTF22aawacjw,./candidate_data/pipelineStructureExample/candidates/partnership/2459782-2459789/lc_ZTF22aawacjw_forced1_stacked0.csv,Piro2021,./candidate_data/pipelineStructureExample/candidate_fits/2459782-2459789/ZTF22aawacjw/,,False,,,,,,,2022-07-21 12:00:00,2022-07-28 12:00:00
36,2459782-2459789,,,./candidate_data/pipelineStructureExample/candidates/partnership/2459782-2459789/,ZTF22aawacjw,./candidate_data/pipelineStructureExample/candidates/partnership/2459782-2459789/lc_ZTF22aawacjw_forced1_stacked0.csv,TrPi2018,./candidate_data/pipelineStructureExample/candidate_fits/2459782-2459789/ZTF22aawacjw/,./candidate_data/pipelineStructureExample/candidate_fits/2459782-2459789/ZTF22aawacjw/TrPi2018_result.json,True,5936.867402,pymultinest,-33.156170938132625,0.24598125236998353,0.0,-33.156170938132625,2022-07-21 12:00:00,2022-07-28 12:00:00
37,2459782-2459789,,,./candidate_data/pipelineStructureExample/candidates/partnership/2459782-2459789/,ZTF22aawacjw,./candidate_data/pipelineStructureExample/candidates/partnership/2459782-2459789/lc_ZTF22aawacjw_forced1_stacked0.csv,nugent-hyper,./candidate_data/pipelineStructureExample/candidate_fits/2459782-2459789/ZTF22aawacjw/,./candidate_data/pipelineStructureExample/candidate_fits/2459782-2459789/ZTF22aawacjw/nugent-hyper_result.json,True,42.169446,pymultinest,-41.10413448758316,0.10200615822495304,0.0,-41.10413448758316,2022-07-21 12:00:00,2022-07-28 12:00:00
