,jd,mag,mag_unc,filter,limmag,programid
0,44244.01021949418,17.521895642963866,0.1,g,inf,0.0
1,44244.01021949418,17.236604413349678,0.1,r,inf,0.0
2,44244.11021949418,18.944260856679282,0.1,g,inf,0.0
3,44244.11021949418,18.78750097980846,0.1,r,inf,0.0
4,44244.210219494176,19.857536086667498,0.1,g,inf,0.0
5,44244.210219494176,19.54173904670897,0.1,r,inf,0.0
6,44244.310219494175,19.901166184898443,0.1,g,inf,0.0
7,44244.310219494175,20.055551239579675,0.1,r,inf,0.0
8,44244.41021949418,20.578311840260476,0.1,g,inf,0.0
9,44244.41021949418,20.186592213942795,0.1,r,inf,0.0
10,44244.51021949418,20.76664196621078,0.1,g,inf,0.0
11,44244.51021949418,20.440047482111787,0.1,r,inf,0.0
12,44244.61021949418,20.94389708771017,0.1,g,inf,0.0
13,44244.61021949418,20.840144590261918,0.1,r,inf,0.0
14,44244.710219494176,21.16739823138602,0.1,g,inf,0.0
15,44244.710219494176,21.002072009136565,0.1,r,inf,0.0
16,44244.810219494175,21.159422068767423,0.1,r,inf,0.0
17,44244.810219494175,21.12146437363356,0.1,g,inf,0.0
18,44244.91021949418,21.438582120809343,0.1,g,inf,0.0
19,44244.91021949418,21.30934441198577,0.1,r,inf,0.0
20,44245.01021949418,21.33417646736354,0.1,r,inf,0.0
21,44245.01021949418,21.623740107686256,0.1,g,inf,0.0
22,44245.11021949418,21.851656803474015,0.1,g,inf,0.0
23,44245.11021949418,21.54124290442347,0.1,r,inf,0.0
24,44245.210219494176,21.653921047651703,0.1,r,inf,0.0
25,44245.210219494176,21.758636696478586,0.1,g,inf,0.0
26,44245.310219494175,21.828531232802373,0.1,g,inf,0.0
27,44245.310219494175,21.65209548445871,0.1,r,inf,0.0
28,44245.41021949418,21.99973734243183,0.1,r,inf,0.0
29,44245.41021949418,21.94883417943229,0.1,g,inf,0.0
30,44245.51021949418,22.17512604399821,0.1,g,inf,0.0
31,44245.51021949418,21.94511911184652,0.1,r,inf,0.0
32,44245.61021949418,21.85933255491901,0.1,r,inf,0.0
33,44245.61021949418,22.197188041337878,0.1,g,inf,0.0
34,44245.710219494176,22.12004875703384,0.1,r,inf,0.0
35,44245.710219494176,22.187267403919805,0.1,g,inf,0.0
36,44245.810219494175,22.027096311087934,0.1,r,inf,0.0
37,44245.810219494175,22.361741253450862,0.1,g,inf,0.0
38,44245.91021949418,22.271250520583443,0.1,r,inf,0.0
39,44245.91021949418,22.38809985165053,0.1,g,inf,0.0
40,44246.01021949418,22.53809327755367,0.1,g,inf,0.0
41,44246.01021949418,22.37123829970424,0.1,r,inf,0.0
42,44246.11021949418,22.433381243717392,0.1,g,inf,0.0
43,44246.11021949418,22.2356682844221,0.1,r,inf,0.0
44,44246.210219494176,22.527746000570225,0.1,g,inf,0.0
45,44246.210219494176,22.470999790653885,0.1,r,inf,0.0
46,44246.310219494175,22.578227062041663,0.1,g,inf,0.0
47,44246.310219494175,22.472865931895278,0.1,r,inf,0.0
48,44246.41021949418,22.524284284866965,0.1,g,inf,0.0
49,44246.41021949418,22.566991757104052,0.1,r,inf,0.0
50,44246.51021949418,22.753285396466836,0.1,g,inf,0.0
51,44246.51021949418,22.727502628037783,0.1,r,inf,0.0
52,44246.61021949418,22.799297579407643,0.1,g,inf,0.0
53,44246.61021949418,22.562803201364535,0.1,r,inf,0.0
54,44246.710219494176,22.559503389579515,0.1,r,inf,0.0
55,44246.710219494176,22.821238391042197,0.1,g,inf,0.0
56,44246.810219494175,22.59307282651142,0.1,r,inf,0.0
57,44246.810219494175,22.844415595630416,0.1,g,inf,0.0
58,44246.91021949418,22.769455563396384,0.1,g,inf,0.0
59,44246.91021949418,22.64356156954813,0.1,r,inf,0.0
60,44247.01021949418,22.76055075567396,0.1,r,inf,0.0
61,44247.01021949418,22.912046433958384,0.1,g,inf,0.0
62,44247.11021949418,22.844586543135655,0.1,r,inf,0.0
63,44247.11021949418,22.962049933667203,0.1,g,inf,0.0
64,44247.210219494176,22.878020130056793,0.1,r,inf,0.0
65,44247.210219494176,22.955973362871624,0.1,g,inf,0.0
66,44247.310219494175,22.97294907949719,0.1,r,inf,0.0
67,44247.310219494175,23.059952223101092,0.1,g,inf,0.0
68,44247.41021949418,22.930732713136088,0.1,r,inf,0.0
69,44247.41021949418,23.155687649307172,0.1,g,inf,0.0
70,44247.51021949418,23.111125855693928,0.1,r,inf,0.0
71,44247.51021949418,23.34024107777667,0.1,g,inf,0.0
72,44247.61021949418,22.975646688684296,0.1,r,inf,0.0
73,44247.61021949418,23.205420192968703,0.1,g,inf,0.0
74,44247.710219494176,23.250057374787694,0.1,g,inf,0.0
75,44247.710219494176,23.310469212696955,0.1,r,inf,0.0
76,44247.810219494175,23.250732303574885,0.1,g,inf,0.0
77,44247.810219494175,23.134893590250577,0.1,r,inf,0.0
78,44247.91021949418,23.019842629402724,0.1,r,inf,0.0
79,44247.91021949418,23.099531303191878,0.1,g,inf,0.0
80,44248.01021949418,23.03170066480852,0.1,r,inf,0.0
81,44248.01021949418,23.321988566747134,0.1,g,inf,0.0
82,44248.11021949418,23.363740017009693,0.1,g,inf,0.0
83,44248.11021949418,23.220114197862483,0.1,r,inf,0.0
84,44248.210219494176,23.634419722035364,0.1,g,inf,0.0
85,44248.210219494176,23.179899192576826,0.1,r,inf,0.0
86,44248.310219494175,23.39923792907997,0.1,g,inf,0.0
87,44248.310219494175,23.304024035289867,0.1,r,inf,0.0
88,44248.41021949418,23.31032626310926,0.1,r,inf,0.0
89,44248.41021949418,23.479007274562694,0.1,g,inf,0.0
90,44248.51021949418,23.475759878130056,0.1,g,inf,0.0
91,44248.51021949418,23.286098124157466,0.1,r,inf,0.0
92,44248.61021949418,23.236409689678933,0.1,r,inf,0.0
93,44248.61021949418,23.390071297401246,0.1,g,inf,0.0
94,44248.710219494176,23.64876029387591,0.1,g,inf,0.0
95,44248.710219494176,23.197143250278394,0.1,r,inf,0.0
96,44248.810219494175,23.331515388801495,0.1,r,inf,0.0
97,44248.810219494175,23.637210226954295,0.1,g,inf,0.0
98,44248.91021949418,23.668659029651135,0.1,g,inf,0.0
99,44248.91021949418,23.489345674701752,0.1,r,inf,0.0
100,44249.01021949418,23.451719440876207,0.1,r,inf,0.0
101,44249.01021949418,23.525221360661135,0.1,g,inf,0.0
102,44249.11021949418,23.331019909202006,0.1,r,inf,0.0
