,jd,mag,mag_unc,filter,limmag,programid
0,2459093.8194792,99.0,99.0,i,20.1930040329727,2.0
1,2459093.8692477,99.0,99.0,r,20.2652919822565,3.0
2,2459093.9564005,99.0,99.0,g,20.1072437408889,3.0
3,2459094.9062269,99.0,99.0,r,19.8335518866989,3.0
4,2459094.9712616,99.0,99.0,g,19.8380249196409,3.0
5,2459095.8543519,99.0,99.0,g,19.909915058499,3.0
6,2459095.9474306,99.0,99.0,r,20.0973288457695,3.0
7,2459080.9446296,99.0,99.0,g,21.236449132704,3.0
8,2459081.9252431,99.0,99.0,r,21.3517838891343,3.0
9,2459081.9667477,99.0,99.0,g,21.1673713377695,3.0
10,2459082.923287,99.0,99.0,g,21.1805584225423,3.0
11,2459082.9689468,99.0,99.0,r,20.9551668469215,3.0
12,2459084.9401852,99.0,99.0,g,21.4580668720648,3.0
13,2459084.9887269,99.0,99.0,r,21.2949607947242,3.0
14,2459085.8814815,99.0,99.0,g,21.5047092869414,3.0
15,2459085.9678009,99.0,99.0,r,21.4649111986624,3.0
16,2459086.9011343,99.0,99.0,r,21.3340000417439,3.0
17,2459086.9696759,99.0,99.0,g,21.3146931204435,3.0
18,2459087.8986458,20.8627145431835,0.0478435922563854,g,22.50504088107,2.0
19,2459087.9181366,20.6917332011505,0.05031909171505,r,22.2792870070574,2.0
20,2459087.965162,20.957405203615,0.168099234156307,g,21.2353766556046,3.0
21,2459088.8340046,22.7526415189624,0.2649488216544,g,22.5366223271704,2.0
22,2459088.9038889,99.0,99.0,r,21.3072897790994,3.0
23,2459088.9761574,99.0,99.0,g,21.214577147838,3.0
24,2459089.9295602,99.0,99.0,r,21.2876431968757,3.0
25,2459090.9191782,99.0,99.0,g,21.4726501506481,3.0
26,2459090.9418056,99.0,99.0,r,21.2434641604847,3.0
27,2459091.94625,99.0,99.0,g,21.329475034026,3.0
28,2459091.9652894,99.0,99.0,r,21.4766066226714,3.0
