,jd,mag,mag_unc,filter,limmag,programid
0,2459093.869,99,99,r,20.26529198,3
1,2459093.956,99,99,g,20.10724374,3
2,2459094.906,99,99,r,19.83355189,3
3,2459094.971,99,99,g,19.83802492,3
4,2459095.854,99,99,g,19.90991506,3
5,2459095.947,99,99,r,20.09732885,3
6,2459080.945,99,99,g,21.23644913,3
7,2459081.925,99,99,r,21.35178389,3
8,2459081.967,99,99,g,21.16737134,3
9,2459082.923,99,99,g,21.18055842,3
10,2459082.969,99,99,r,20.95516685,3
11,2459084.94,99,99,g,21.45806687,3
12,2459084.989,99,99,r,21.29496079,3
13,2459085.881,99,99,g,21.50470929,3
14,2459085.968,99,99,r,21.4649112,3
15,2459086.901,99,99,r,21.33400004,3
16,2459086.97,99,99,g,21.31469312,3
17,2459087.899,20.86271454,0.047843592,g,22.50504088,2
18,2459087.918,20.6917332,0.050319092,r,22.27928701,2
19,2459087.965,20.9574052,0.168099234,g,21.23537666,3
20,2459088.834,22.75264152,0.264948822,g,22.53662233,2
21,2459088.904,99,99,r,21.30728978,3
22,2459088.976,99,99,g,21.21457715,3
23,2459089.93,99,99,r,21.2876432,3
24,2459090.919,99,99,g,21.47265015,3
25,2459090.942,99,99,r,21.24346416,3
26,2459091.946,99,99,g,21.32947503,3
27,2459091.965,99,99,r,21.47660662,3
